Timestamp,position,BLMTI.04L7.B1E10_TCSG.B4L7.B1
1469746327930,-0.635,1.7014e-05
1469746327940,-0.635,1.5204e-05
1469746327950,-0.635,1.4842000000000001e-05
1469746327960,-0.635,1.448e-05
1469746327970,-0.635,1.448e-05
1469746327980,-0.635,1.5928e-05
1469746327990,-0.635,1.4118e-05
1469746328000,-0.635,1.5928e-05
1469746328010,-0.635,1.3032e-05
1469746328020,-0.635,1.4118e-05
1469746328030,-0.635,1.086e-05
1469746328040,-0.635,1.1222e-05
1469746328050,-0.635,1.0498e-05
1469746328060,-0.635,1.2308e-05
1469746328070,-0.635,1.086e-05
1469746328080,-0.635,1.7375999999999998e-05
1469746328090,-0.635,2.0272000000000002e-05
1469746328100,-0.635,2.4978e-05
1469746328110,-0.635,2.1358e-05
1469746328120,-0.635,2.2082e-05
1469746328130,-0.635,1.8824e-05
1469746328140,-0.635,1.9186e-05
1469746328150,-0.635,8.326e-06
1469746328160,-0.635,1.448e-05
1469746328170,-0.635,1.1945999999999999e-05
1469746328180,-0.635,1.267e-05
1469746328190,-0.635,1.1584000000000001e-05
1469746328200,-0.635,1.2308e-05
1469746328210,-0.635,1.267e-05
1469746328220,-0.635,1.7014e-05
1469746328230,-0.635,1.8824e-05
1469746328240,-0.635,2.172e-05
1469746328250,-0.635,1.9548e-05
1469746328260,-0.635,1.9548e-05
1469746328270,-0.635,1.5566e-05
1469746328280,-0.635,1.4842000000000001e-05
1469746328290,-0.635,1.3032e-05
1469746328300,-0.635,1.5204e-05
1469746328310,-0.635,1.3032e-05
1469746328320,-0.635,1.448e-05
1469746328330,-0.635,9.774e-06
1469746328340,-0.635,1.2308e-05
1469746328350,-0.635,1.0498e-05
1469746328360,-0.635,1.3032e-05
1469746328370,-0.635,1.3032e-05
1469746328380,-0.635,1.3032e-05
1469746328390,-0.635,1.267e-05
1469746328400,-0.635,1.4118e-05
1469746328410,-0.635,1.267e-05
1469746328420,-0.635,1.267e-05
1469746328430,-0.635,1.086e-05
1469746328440,-0.635,7.24e-06
1469746328450,-0.635,6.877999999999999e-06
1469746328460,-0.635,1.086e-05
1469746328470,-0.635,1.1584000000000001e-05
1469746328480,-0.635,1.0136000000000001e-05
1469746328490,-0.635,1.0498e-05
1469746328500,-0.635,1.0136000000000001e-05
1469746328510,-0.635,9.412e-06
1469746328520,-0.635,1.0498e-05
1469746328530,-0.635,8.687999999999999e-06
1469746328540,-0.635,1.1584000000000001e-05
1469746328550,-0.635,1.3755999999999998e-05
1469746328560,-0.635,1.7014e-05
1469746328570,-0.635,1.629e-05
1469746328580,-0.635,1.7014e-05
1469746328590,-0.635,1.1584000000000001e-05
1469746328600,-0.635,1.3032e-05
1469746328610,-0.635,1.0136000000000001e-05
1469746328620,-0.635,1.1584000000000001e-05
1469746328630,-0.635,9.774e-06
1469746328640,-0.635,1.1945999999999999e-05
1469746328650,-0.635,9.774e-06
1469746328660,-0.635,1.086e-05
1469746328670,-0.635,9.774e-06
1469746328680,-0.635,1.1945999999999999e-05
1469746328690,-0.635,1.086e-05
1469746328700,-0.635,1.1945999999999999e-05
1469746328710,-0.635,9.774e-06
1469746328720,-0.635,1.1945999999999999e-05
1469746328730,-0.635,1.267e-05
1469746328740,-0.635,1.629e-05
1469746328750,-0.635,1.448e-05
1469746328760,-0.635,1.4118e-05
1469746328770,-0.635,1.2308e-05
1469746328780,-0.635,5.792000000000001e-06
1469746328790,-0.635,7.964e-06
1469746328800,-0.635,1.267e-05
1469746328810,-0.635,1.1222e-05
1469746328820,-0.635,1.629e-05
1469746328830,-0.635,1.4118e-05
1469746328840,-0.635,1.6652e-05
1469746328850,-0.635,1.448e-05
1469746328860,-0.635,1.4118e-05
1469746328870,-0.635,1.086e-05
1469746328880,-0.635,1.267e-05
1469746328890,-0.635,1.086e-05
1469746328900,-0.635,1.1945999999999999e-05
1469746328910,-0.635,9.774e-06
1469746328920,-0.635,1.086e-05
1469746328930,-0.635,1.1584000000000001e-05
1469746328940,-0.635,1.4842000000000001e-05
1469746328950,-0.635,1.3032e-05
1469746328960,-0.635,1.3394000000000001e-05
1469746328970,-0.635,1.2308e-05
1469746328980,-0.635,1.1945999999999999e-05
1469746328990,-0.635,1.086e-05
1469746329000,-0.635,1.3032e-05
1469746329010,-0.635,1.3755999999999998e-05
1469746329020,-0.635,1.4842000000000001e-05
1469746329030,-0.635,1.1222e-05
1469746329040,-0.635,1.1945999999999999e-05
1469746329050,-0.635,1.0498e-05
1469746329060,-0.635,1.0498e-05
1469746329070,-0.635,9.05e-06
1469746329080,-0.635,9.774e-06
1469746329090,-0.635,9.05e-06
1469746329100,-0.635,1.0136000000000001e-05
1469746329110,-0.635,5.43e-06
1469746329120,-0.635,1.0498e-05
1469746329130,-0.635,9.412e-06
1469746329140,-0.635,1.1222e-05
1469746329150,-0.635,9.412e-06
1469746329160,-0.635,9.774e-06
1469746329170,-0.635,9.774e-06
1469746329180,-0.635,1.1222e-05
1469746329190,-0.635,9.412e-06
1469746329200,-0.635,1.1584000000000001e-05
1469746329210,-0.635,1.0498e-05
1469746329220,-0.635,1.2308e-05
1469746329230,-0.635,1.1222e-05
1469746329240,-0.635,1.2308e-05
1469746329250,-0.635,1.2308e-05
1469746329260,-0.635,1.448e-05
1469746329270,-0.635,1.3032e-05
1469746329280,-0.635,1.3032e-05
1469746329290,-0.635,1.1222e-05
1469746329300,-0.635,1.1222e-05
1469746329310,-0.635,1.0498e-05
1469746329320,-0.635,1.086e-05
1469746329330,-0.635,9.774e-06
1469746329340,-0.635,1.2308e-05
1469746329350,-0.635,8.326e-06
1469746329360,-0.635,9.412e-06
1469746329370,-0.635,7.964e-06
1469746329380,-0.635,9.05e-06
1469746329390,-0.635,6.877999999999999e-06
1469746329400,-0.635,1.0498e-05
1469746329410,-0.635,9.05e-06
1469746329420,-0.635,1.1945999999999999e-05
1469746329430,-0.635,9.05e-06
1469746329440,-0.635,1.1945999999999999e-05
1469746329450,-0.635,9.05e-06
1469746329460,-0.635,1.1945999999999999e-05
1469746329470,-0.635,1.1584000000000001e-05
1469746329480,-0.635,9.412e-06
1469746329490,-0.635,8.687999999999999e-06
1469746329500,-0.635,9.774e-06
1469746329510,-0.635,9.412e-06
1469746329520,-0.635,1.0498e-05
1469746329530,-0.635,9.412e-06
1469746329540,-0.635,1.086e-05
1469746329550,-0.635,7.602e-06
1469746329560,-0.635,1.3394000000000001e-05
1469746329570,-0.635,1.0498e-05
1469746329580,-0.635,1.4118e-05
1469746329590,-0.635,1.086e-05
1469746329600,-0.635,1.4118e-05
1469746329610,-0.635,1.0498e-05
1469746329620,-0.635,1.2308e-05
1469746329630,-0.635,9.05e-06
1469746329640,-0.635,1.086e-05
1469746329650,-0.635,1.0136000000000001e-05
1469746329660,-0.635,1.1584000000000001e-05
1469746329670,-0.635,1.0498e-05
1469746329680,-0.635,1.3032e-05
1469746329690,-0.635,1.3032e-05
1469746329700,-0.635,1.4118e-05
1469746329710,-0.635,1.1222e-05
1469746329720,-0.635,1.3394000000000001e-05
1469746329730,-0.635,1.0136000000000001e-05
1469746329740,-0.635,1.1584000000000001e-05
1469746329750,-0.635,9.412e-06
1469746329760,-0.635,1.0136000000000001e-05
1469746329770,-0.635,7.602e-06
1469746329780,-0.635,9.774e-06
1469746329790,-0.635,8.326e-06
1469746329800,-0.635,1.0498e-05
1469746329810,-0.635,1.0136000000000001e-05
1469746329820,-0.635,1.3394000000000001e-05
1469746329830,-0.635,1.8100000000000003e-05
1469746329840,-0.635,1.7375999999999998e-05
1469746329850,-0.635,1.9186e-05
1469746329860,-0.635,2.0996e-05
1469746329870,-0.635,1.5566e-05
1469746329880,-0.635,1.7375999999999998e-05
1469746329890,-0.635,1.1945999999999999e-05
1469746329900,-0.635,1.1945999999999999e-05
1469746329910,-0.635,8.326e-06
1469746329920,-0.635,1.1945999999999999e-05
1469746329930,-0.635,1.086e-05
1469746329940,-0.635,1.2308e-05
1469746329950,-0.635,1.1584000000000001e-05
1469746329960,-0.635,1.267e-05
1469746329970,-0.635,1.2308e-05
1469746329980,-0.635,1.086e-05
1469746329990,-0.635,9.774e-06
1469746330000,-0.635,1.2308e-05
1469746330010,-0.635,1.4842000000000001e-05
1469746330020,-0.635,1.8462e-05
1469746330030,-0.635,1.7014e-05
1469746330040,-0.635,1.5928e-05
1469746330050,-0.635,1.1222e-05
1469746330060,-0.635,1.1945999999999999e-05
1469746330070,-0.635,8.326e-06
1469746330080,-0.635,1.3394000000000001e-05
