Timestamp,position,BLMTI.06L7.B2I10_TCLA.C6L7.B2
1469746990700,0.105,3.982e-06
1469746990710,0.105,8.687999999999999e-06
1469746990720,0.105,1.086e-05
1469746990730,0.105,6.154e-06
1469746990740,0.105,5.43e-06
1469746990750,0.105,5.43e-06
1469746990760,0.105,3.982e-06
1469746990770,0.105,3.62e-06
1469746990780,0.105,2.1719999999999997e-06
1469746990790,0.105,3.62e-06
1469746990800,0.105,3.62e-06
1469746990810,0.105,5.0680000000000004e-06
1469746990820,0.105,2.8960000000000003e-06
1469746990830,0.105,3.258e-06
1469746990840,0.105,2.8960000000000003e-06
1469746990850,0.105,2.8960000000000003e-06
1469746990860,0.105,3.62e-06
1469746990870,0.105,3.982e-06
1469746990880,0.105,3.258e-06
1469746990890,0.105,1.0136000000000001e-05
1469746990900,0.105,8.326e-06
1469746990910,0.105,6.154e-06
1469746990920,0.105,3.982e-06
1469746990930,0.105,7.602e-06
1469746990940,0.105,1.086e-05
1469746990950,0.105,9.05e-06
1469746990960,0.105,5.0680000000000004e-06
1469746990970,0.105,5.43e-06
1469746990980,0.105,9.774e-06
1469746990990,0.105,1.086e-05
1469746991000,0.105,7.24e-06
1469746991010,0.105,4.706e-06
1469746991020,0.105,4.343999999999999e-06
1469746991030,0.105,6.516e-06
1469746991040,0.105,2.8960000000000003e-06
1469746991050,0.105,2.8960000000000003e-06
1469746991060,0.105,3.982e-06
1469746991070,0.105,5.43e-06
1469746991080,0.105,3.982e-06
1469746991090,0.105,3.62e-06
1469746991100,0.105,3.258e-06
1469746991110,0.105,6.516e-06
1469746991120,0.105,4.706e-06
1469746991130,0.105,4.343999999999999e-06
1469746991140,0.105,2.8960000000000003e-06
1469746991150,0.105,3.982e-06
1469746991160,0.105,4.706e-06
1469746991170,0.105,8.326e-06
1469746991180,0.105,6.516e-06
1469746991190,0.105,4.343999999999999e-06
1469746991200,0.105,3.982e-06
1469746991210,0.105,7.602e-06
1469746991220,0.105,7.602e-06
1469746991230,0.105,3.62e-06
1469746991240,0.105,3.258e-06
1469746991250,0.105,3.258e-06
1469746991260,0.105,3.982e-06
1469746991270,0.105,3.982e-06
1469746991280,0.105,2.5340000000000002e-06
1469746991290,0.105,2.5340000000000002e-06
1469746991300,0.105,4.343999999999999e-06
1469746991310,0.105,6.877999999999999e-06
1469746991320,0.105,6.154e-06
1469746991330,0.115,3.62e-06
1469746991340,0.115,2.5340000000000002e-06
1469746991350,0.115,7.602e-06
1469746991360,0.115,1.1222e-05
1469746991370,0.115,7.24e-06
1469746991380,0.115,2.8960000000000003e-06
1469746991390,0.115,3.258e-06
1469746991400,0.115,5.0680000000000004e-06
1469746991410,0.115,5.43e-06
1469746991420,0.115,5.0680000000000004e-06
1469746991430,0.115,4.343999999999999e-06
1469746991440,0.115,4.343999999999999e-06
1469746991450,0.115,5.0680000000000004e-06
1469746991460,0.115,3.982e-06
1469746991470,0.115,3.258e-06
1469746991480,0.115,3.62e-06
1469746991490,0.115,2.5340000000000002e-06
1469746991500,0.115,3.62e-06
1469746991510,0.115,2.5340000000000002e-06
1469746991520,0.115,3.62e-06
1469746991530,0.115,3.62e-06
1469746991540,0.115,4.343999999999999e-06
1469746991550,0.115,3.62e-06
1469746991560,0.115,3.258e-06
1469746991570,0.115,5.792000000000001e-06
1469746991580,0.115,8.326e-06
1469746991590,0.115,1.3032e-05
1469746991600,0.115,1.0136000000000001e-05
1469746991610,0.115,9.774e-06
1469746991620,0.115,1.267e-05
1469746991630,0.115,1.8824e-05
1469746991640,0.115,1.7738e-05
1469746991650,0.115,1.629e-05
1469746991660,0.115,6.154e-06
1469746991670,0.115,5.792000000000001e-06
1469746991680,0.115,6.154e-06
1469746991690,0.115,6.877999999999999e-06
1469746991700,0.115,5.792000000000001e-06
1469746991710,0.115,3.982e-06
1469746991720,0.115,6.154e-06
1469746991730,0.115,3.982e-06
1469746991740,0.115,3.62e-06
1469746991750,0.115,3.258e-06
1469746991760,0.115,4.343999999999999e-06
1469746991770,0.115,4.343999999999999e-06
