Timestamp,position,BLMTI.06L7.B2I10_TCLA.A6L7.B2
1469747102170,-1.175,4.8508000000000004e-05
1469747102180,-1.175,4.2353999999999995e-05
1469747102190,-1.175,3.0408e-05
1469747102200,-1.175,3.1856e-05
1469747102210,-1.175,3.6924e-05
1469747102220,-1.175,6.5884e-05
1469747102230,-1.175,5.249e-05
1469747102240,-1.175,4.5974e-05
1469747102250,-1.175,4.9232e-05
1469747102260,-1.175,0.000127424
1469747102270,-1.175,0.000123442
1469747102280,-1.175,6.9142e-05
1469747102290,-1.175,5.5748e-05
1469747102300,-1.175,5.5748e-05
1469747102310,-1.175,4.706e-05
1469747102320,-1.175,4.3078e-05
1469747102330,-1.175,4.0906e-05
1469747102340,-1.175,4.0544000000000003e-05
1469747102350,-1.175,4.1268e-05
1469747102360,-1.175,3.4751999999999995e-05
1469747102370,-1.175,3.1856e-05
1469747102380,-1.175,2.715e-05
1469747102390,-1.175,3.077e-05
1469747102400,-1.175,3.5476e-05
1469747102410,-1.175,4.3802e-05
1469747102420,-1.175,7.0228e-05
1469747102430,-1.175,9.086200000000001e-05
1469747102440,-1.175,0.000108962
1469747102450,-1.175,8.3622e-05
1469747102460,-1.175,7.348600000000001e-05
1469747102470,-1.175,5.2852e-05
1469747102480,-1.175,7.3124e-05
1469747102490,-1.175,9.8102e-05
1469747102500,-1.175,8.9414e-05
1469747102510,-1.175,6.8056e-05
1469747102520,-1.175,5.5023999999999994e-05
1469747102530,-1.175,6.841800000000001e-05
1469747102540,-1.175,6.0092e-05
1469747102550,-1.175,4.959399999999999e-05
1469747102560,-1.175,3.4028e-05
1469747102570,-1.175,3.6200000000000006e-05
1469747102580,-1.175,4.0544000000000003e-05
1469747102590,-1.175,4.9232e-05
1469747102600,-1.175,5.3213999999999996e-05
1469747102610,-1.175,5.6834e-05
1469747102620,-1.175,4.2716e-05
1469747102630,-1.175,4.163e-05
1469747102640,-1.175,3.258e-05
1469747102650,-1.175,3.2218e-05
1469747102660,-1.175,3.077e-05
1469747102670,-1.175,3.4751999999999995e-05
1469747102680,-1.175,3.6200000000000006e-05
1469747102690,-1.175,4.959399999999999e-05
1469747102700,-1.175,6.3712e-05
1469747102710,-1.175,7.4934e-05
1469747102720,-1.175,5.5386e-05
1469747102730,-1.175,5.1042e-05
1469747102740,-1.175,3.7648e-05
1469747102750,-1.175,3.4028e-05
1469747102760,-1.175,3.5114e-05
1469747102770,-1.175,4.1268e-05
1469747102780,-1.175,3.9096e-05
1469747102790,-1.175,4.344e-05
1469747102800,-1.175,3.8734e-05
1469747102810,-1.175,3.5838000000000005e-05
1469747102820,-1.175,3.3666e-05
1469747102830,-1.175,3.1856e-05
1469747102840,-1.175,2.7874e-05
1469747102850,-1.175,3.1494e-05
1469747102860,-1.175,3.5838000000000005e-05
1469747102870,-1.175,4.7783999999999995e-05
1469747102880,-1.175,5.611e-05
1469747102890,-1.175,6.335e-05
1469747102900,-1.175,5.249e-05
1469747102910,-1.175,4.3802e-05
1469747102920,-1.175,5.429999999999999e-05
1469747102930,-1.175,6.769399999999999e-05
1469747102940,-1.175,5.8643999999999996e-05
1469747102950,-1.175,5.3938000000000004e-05
1469747102960,-1.175,4.887e-05
1469747102970,-1.175,5.8281999999999995e-05
1469747102980,-1.175,5.8281999999999995e-05
1469747102990,-1.175,6.0092e-05
1469747103000,-1.175,4.2353999999999995e-05
1469747103010,-1.175,3.6562e-05
1469747103020,-1.175,3.1132e-05
1469747103030,-1.175,3.801e-05
1469747103040,-1.175,4.0544000000000003e-05
1469747103050,-1.175,5.1766000000000005e-05
1469747103060,-1.175,5.1766000000000005e-05
1469747103070,-1.175,5.1404e-05
1469747103080,-1.175,3.2218e-05
1469747103090,-1.175,3.6924e-05
1469747103100,-1.175,3.7648e-05
1469747103110,-1.175,4.6336000000000005e-05
1469747103120,-1.175,5.3213999999999996e-05
1469747103130,-1.175,6.7332e-05
1469747103140,-1.175,8.8328e-05
1469747103150,-1.175,7.6744e-05
1469747103160,-1.175,5.3213999999999996e-05
1469747103170,-1.175,4.163e-05
1469747103180,-1.175,3.4028e-05
1469747103190,-1.175,3.3666e-05
1469747103200,-1.175,2.9321999999999998e-05
1469747103210,-1.175,3.4028e-05
1469747103220,-1.175,3.4751999999999995e-05
1469747103230,-1.175,3.9458e-05
1469747103240,-1.175,3.801e-05
1469747103250,-1.175,4.1992e-05
1469747103260,-1.175,3.9096e-05
1469747103270,-1.175,3.8734e-05
1469747103280,-1.175,3.3666e-05
1469747103290,-1.175,3.7286e-05
1469747103300,-1.175,3.5476e-05
1469747103310,-1.175,4.6698e-05
1469747103320,-1.175,4.2716e-05
1469747103330,-1.175,4.5611999999999996e-05
1469747103340,-1.175,4.706e-05
1469747103350,-1.175,5.1766000000000005e-05
1469747103360,-1.175,4.344e-05
1469747103370,-1.175,5.9368000000000005e-05
1469747103380,-1.175,7.0952e-05
1469747103390,-1.175,0.000102084
1469747103400,-1.175,9.593e-05
1469747103410,-1.175,9.0138e-05
1469747103420,-1.175,6.6608e-05
1469747103430,-1.175,4.7783999999999995e-05
1469747103440,-1.175,3.6200000000000006e-05
1469747103450,-1.175,3.4028e-05
1469747103460,-1.175,3.5114e-05
1469747103470,-1.175,3.7286e-05
1469747103480,-1.175,4.4888e-05
1469747103490,-1.175,5.5748e-05
1469747103500,-1.175,5.429999999999999e-05
1469747103510,-1.175,4.8508000000000004e-05
1469747103520,-1.175,3.5114e-05
1469747103530,-1.175,3.4751999999999995e-05
1469747103540,-1.175,3.258e-05
1469747103550,-1.175,4.2353999999999995e-05
1469747103560,-1.175,4.0906e-05
1469747103570,-1.175,5.6834e-05
1469747103580,-1.175,6.8056e-05
1469747103590,-1.175,9.9912e-05
1469747103600,-1.175,7.4934e-05
1469747103610,-1.175,5.2128e-05
1469747103620,-1.175,4.0181999999999996e-05
1469747103630,-1.175,3.9458e-05
1469747103640,-1.175,3.2942e-05
1469747103650,-1.175,3.6200000000000006e-05
1469747103660,-1.175,3.8372e-05
1469747103670,-1.175,4.7783999999999995e-05
1469747103680,-1.175,5.4662e-05
1469747103690,-1.175,4.9232e-05
1469747103700,-1.175,3.8372e-05
1469747103710,-1.175,3.6200000000000006e-05
1469747103720,-1.175,3.6200000000000006e-05
1469747103730,-1.175,4.7783999999999995e-05
1469747103740,-1.175,4.6698e-05
1469747103750,-1.175,4.706e-05
1469747103760,-1.175,3.4751999999999995e-05
1469747103770,-1.175,3.077e-05
1469747103780,-1.175,2.9321999999999998e-05
1469747103790,-1.175,3.4751999999999995e-05
1469747103800,-1.175,4.6698e-05
1469747103810,-1.175,8.036399999999999e-05
1469747103820,-1.175,6.1902e-05
1469747103830,-1.175,5.8643999999999996e-05
1469747103840,-1.175,5.249e-05
1469747103850,-1.175,7.240000000000001e-05
1469747103860,-1.175,5.068e-05
