Timestamp,position,BLMTI.04R7.B2I10_TCSG.D4R7.B2
1469747346760,-1.48,9.05e-06
1469747346770,-1.48,9.05e-06
1469747346780,-1.48,7.24e-06
1469747346790,-1.48,9.774e-06
1469747346800,-1.48,7.602e-06
1469747346810,-1.48,8.687999999999999e-06
1469747346820,-1.48,1.7738e-05
1469747346830,-1.48,1.3755999999999998e-05
1469747346840,-1.48,6.154e-06
1469747346850,-1.48,1.0498e-05
1469747346860,-1.48,9.774e-06
1469747346870,-1.48,1.086e-05
1469747346880,-1.48,8.687999999999999e-06
1469747346890,-1.48,1.1945999999999999e-05
1469747346900,-1.48,9.05e-06
1469747346910,-1.48,1.086e-05
1469747346920,-1.48,9.412e-06
1469747346930,-1.48,1.086e-05
1469747346940,-1.48,7.602e-06
1469747346950,-1.48,1.0498e-05
1469747346960,-1.48,1.0498e-05
1469747346970,-1.48,1.1945999999999999e-05
1469747346980,-1.48,8.687999999999999e-06
1469747346990,-1.48,1.0136000000000001e-05
1469747347000,-1.48,7.602e-06
1469747347010,-1.48,1.1945999999999999e-05
1469747347020,-1.48,9.05e-06
1469747347030,-1.48,1.0136000000000001e-05
1469747347040,-1.48,7.24e-06
1469747347050,-1.48,1.0498e-05
1469747347060,-1.48,7.602e-06
1469747347070,-1.48,1.0498e-05
1469747347080,-1.48,7.964e-06
1469747347090,-1.48,1.1945999999999999e-05
1469747347100,-1.48,8.326e-06
1469747347110,-1.48,1.5566e-05
1469747347120,-1.48,1.086e-05
1469747347130,-1.48,1.4118e-05
1469747347140,-1.48,9.412e-06
1469747347150,-1.48,1.1584000000000001e-05
1469747347160,-1.48,1.0498e-05
1469747347170,-1.48,1.267e-05
1469747347180,-1.48,7.964e-06
1469747347190,-1.48,9.412e-06
1469747347200,-1.48,7.602e-06
1469747347210,-1.48,1.1584000000000001e-05
1469747347220,-1.48,7.964e-06
1469747347230,-1.48,8.326e-06
1469747347240,-1.48,7.24e-06
1469747347250,-1.48,1.3032e-05
1469747347260,-1.48,7.602e-06
1469747347270,-1.48,1.1945999999999999e-05
1469747347280,-1.48,8.326e-06
1469747347290,-1.48,1.2308e-05
1469747347300,-1.48,7.964e-06
1469747347310,-1.48,1.2308e-05
1469747347320,-1.48,6.877999999999999e-06
1469747347330,-1.48,1.2308e-05
