Timestamp,position,BLMTI.05L7.B2I10_TCSG.E5L7.B2
1469747800950,-1.47,8.687999999999999e-06
1469747800960,-1.47,6.516e-06
1469747800970,-1.47,7.602e-06
1469747800980,-1.47,6.516e-06
1469747800990,-1.47,6.516e-06
1469747801000,-1.47,7.602e-06
1469747801010,-1.47,6.877999999999999e-06
1469747801020,-1.47,5.792000000000001e-06
1469747801030,-1.47,9.05e-06
1469747801040,-1.47,6.154e-06
1469747801050,-1.47,9.774e-06
1469747801060,-1.47,5.43e-06
1469747801070,-1.47,8.326e-06
1469747801080,-1.47,4.706e-06
1469747801090,-1.47,7.964e-06
1469747801100,-1.47,3.258e-06
1469747801110,-1.47,8.326e-06
1469747801120,-1.47,5.0680000000000004e-06
1469747801130,-1.47,8.326e-06
1469747801140,-1.47,5.0680000000000004e-06
1469747801150,-1.47,7.602e-06
1469747801160,-1.47,5.0680000000000004e-06
1469747801170,-1.47,7.24e-06
1469747801180,-1.47,5.792000000000001e-06
1469747801190,-1.47,9.05e-06
1469747801200,-1.47,6.877999999999999e-06
1469747801210,-1.47,6.516e-06
1469747801220,-1.47,8.687999999999999e-06
1469747801230,-1.47,6.154e-06
1469747801240,-1.47,7.964e-06
1469747801250,-1.47,5.0680000000000004e-06
1469747801260,-1.47,7.964e-06
1469747801270,-1.47,6.877999999999999e-06
1469747801280,-1.47,6.877999999999999e-06
1469747801290,-1.47,7.24e-06
1469747801300,-1.47,4.706e-06
1469747801310,-1.47,8.687999999999999e-06
1469747801320,-1.47,5.0680000000000004e-06
1469747801330,-1.47,7.964e-06
1469747801340,-1.47,5.792000000000001e-06
1469747801350,-1.47,1.0498e-05
1469747801360,-1.47,2.172e-05
1469747801370,-1.47,8.326e-06
1469747801380,-1.47,5.792000000000001e-06
1469747801390,-1.47,9.412e-06
1469747801400,-1.47,5.0680000000000004e-06
1469747801410,-1.47,7.964e-06
1469747801420,-1.47,5.0680000000000004e-06
1469747801430,-1.47,7.602e-06
1469747801440,-1.47,4.706e-06
1469747801450,-1.47,7.24e-06
1469747801460,-1.47,3.982e-06
1469747801470,-1.47,6.877999999999999e-06
1469747801480,-1.47,5.43e-06
