Timestamp,position,BLMTI.06R7.B1E10_TCLA.A6R7.B1
1469748329450,-1.195,2.2444e-05
1469748329460,-1.195,2.534e-05
1469748329470,-1.195,2.3168000000000002e-05
1469748329480,-1.195,1.7375999999999998e-05
1469748329490,-1.195,1.7014e-05
1469748329500,-1.195,1.8100000000000003e-05
1469748329510,-1.195,2.0272000000000002e-05
1469748329520,-1.195,2.2444e-05
1469748329530,-1.195,2.0996e-05
1469748329540,-1.195,1.7014e-05
1469748329550,-1.195,2.1358e-05
1469748329560,-1.195,2.9321999999999998e-05
1469748329570,-1.195,3.5838000000000005e-05
1469748329580,-1.195,2.2805999999999998e-05
1469748329590,-1.195,3.3666e-05
1469748329600,-1.195,3.8734e-05
1469748329610,-1.195,4.163e-05
1469748329620,-1.195,3.7648e-05
1469748329630,-1.195,4.8508000000000004e-05
1469748329640,-1.195,4.6336000000000005e-05
1469748329650,-1.195,2.7511999999999997e-05
1469748329660,-1.195,2.3168000000000002e-05
1469748329670,-1.195,2.2082e-05
1469748329680,-1.195,4.163e-05
1469748329690,-1.195,2.3168000000000002e-05
1469748329700,-1.195,1.9548e-05
1469748329710,-1.195,1.7738e-05
1469748329720,-1.195,2.2082e-05
1469748329730,-1.195,2.0634e-05
1469748329740,-1.195,1.7738e-05
1469748329750,-1.195,1.5566e-05
1469748329760,-1.195,1.9186e-05
1469748329770,-1.195,1.9186e-05
1469748329780,-1.195,1.991e-05
1469748329790,-1.195,2.2082e-05
1469748329800,-1.195,2.9321999999999998e-05
1469748329810,-1.195,3.4751999999999995e-05
1469748329820,-1.195,2.3168000000000002e-05
1469748329830,-1.195,2.2444e-05
1469748329840,-1.195,3.439e-05
1469748329850,-1.195,5.0318e-05
1469748329860,-1.195,2.7874e-05
1469748329870,-1.195,2.172e-05
1469748329880,-1.195,2.9684000000000002e-05
1469748329890,-1.195,4.8508000000000004e-05
1469748329900,-1.195,3.9458e-05
1469748329910,-1.195,2.172e-05
1469748329920,-1.195,1.7375999999999998e-05
1469748329930,-1.195,1.9548e-05
1469748329940,-1.195,2.6426e-05
1469748329950,-1.195,1.9548e-05
1469748329960,-1.195,1.9186e-05
1469748329970,-1.195,1.7375999999999998e-05
1469748329980,-1.195,2.0634e-05
1469748329990,-1.195,1.991e-05
1469748330000,-1.195,2.8236e-05
1469748330010,-1.195,2.1358e-05
1469748330020,-1.195,2.353e-05
1469748330030,-1.195,3.1132e-05
1469748330040,-1.195,5.6834e-05
1469748330050,-1.195,5.5023999999999994e-05
1469748330060,-1.195,4.0544000000000003e-05
1469748330070,-1.195,5.4662e-05
1469748330080,-1.195,5.1042e-05
1469748330090,-1.195,4.2353999999999995e-05
1469748330100,-1.195,2.6426e-05
1469748330110,-1.195,2.2444e-05
1469748330120,-1.195,2.534e-05
1469748330130,-1.195,2.353e-05
1469748330140,-1.195,2.0996e-05
1469748330150,-1.195,1.5928e-05
1469748330160,-1.195,1.8824e-05
1469748330170,-1.195,1.7375999999999998e-05
1469748330180,-1.195,1.991e-05
1469748330190,-1.195,1.7014e-05
1469748330200,-1.195,2.1358e-05
1469748330210,-1.195,1.5204e-05
1469748330220,-1.195,2.7874e-05
1469748330230,-1.195,2.1358e-05
1469748330240,-1.195,2.4616e-05
1469748330250,-1.195,2.4616e-05
1469748330260,-1.195,3.6562e-05
1469748330270,-1.195,2.7874e-05
1469748330280,-1.195,3.801e-05
1469748330290,-1.195,3.1856e-05
1469748330300,-1.195,2.534e-05
1469748330310,-1.195,2.4978e-05
1469748330320,-1.195,4.6698e-05
1469748330330,-1.195,6.0092e-05
1469748330340,-1.195,2.8236e-05
1469748330350,-1.195,2.2805999999999998e-05
1469748330360,-1.195,2.7874e-05
1469748330370,-1.195,2.715e-05
1469748330380,-1.195,2.3168000000000002e-05
1469748330390,-1.195,1.8462e-05
1469748330400,-1.195,1.9548e-05
1469748330410,-1.195,1.6652e-05
1469748330420,-1.195,2.172e-05
1469748330430,-1.195,1.5566e-05
1469748330440,-1.195,1.8100000000000003e-05
1469748330450,-1.175,1.6652e-05
1469748330460,-1.175,1.7738e-05
1469748330470,-1.175,1.6652e-05
1469748330480,-1.175,2.8236e-05
1469748330490,-1.175,2.715e-05
1469748330500,-1.175,5.429999999999999e-05
1469748330510,-1.175,4.525e-05
1469748330520,-1.175,4.344e-05
1469748330530,-1.175,3.8734e-05
1469748330540,-1.175,4.3802e-05
1469748330550,-1.175,2.896e-05
1469748330560,-1.175,2.3891999999999998e-05
1469748330570,-1.175,2.7511999999999997e-05
1469748330580,-1.175,2.1358e-05
1469748330590,-1.175,1.9186e-05
1469748330600,-1.175,2.4616e-05
1469748330610,-1.175,2.4978e-05
1469748330620,-1.175,2.0272000000000002e-05
1469748330630,-1.175,1.4118e-05
1469748330640,-1.175,2.2082e-05
1469748330650,-1.175,1.9186e-05
1469748330660,-1.175,2.353e-05
1469748330670,-1.175,1.991e-05
1469748330680,-1.175,2.896e-05
1469748330690,-1.175,4.3802e-05
1469748330700,-1.175,3.6200000000000006e-05
1469748330710,-1.175,0.000111496
1469748330720,-1.175,2.2082e-05
1469748330730,-1.175,0.00117288
1469748330740,-1.175,3.9458e-05
1469748330750,-1.175,0.00035946599999999996
1469748330760,-1.175,4.2353999999999995e-05
1469748330770,-1.175,0.0008278939999999999
1469748330780,-1.175,0.000187878
1469748330790,-1.175,3.0046e-05
1469748330800,-1.175,4.4526e-05
1469748330810,-1.175,2.7511999999999997e-05
1469748330820,-1.175,5.973e-05
1469748330830,-1.175,6.5884e-05
1469748330840,-1.175,2.4254000000000002e-05
1469748330850,-1.175,2.4254000000000002e-05
1469748330860,-1.175,1.8462e-05
1469748330870,-1.175,2.2082e-05
1469748330880,-1.175,2.4978e-05
1469748330890,-1.175,2.715e-05
1469748330900,-1.175,4.2353999999999995e-05
1469748330910,-1.175,1.7014e-05
1469748330920,-1.175,4.8508000000000004e-05
1469748330930,-1.175,2.6064e-05
1469748330940,-1.175,4.2716e-05
1469748330950,-1.175,4.7783999999999995e-05
1469748330960,-1.175,4.0544000000000003e-05
1469748330970,-1.175,0.000104256
1469748330980,-1.175,2.3891999999999998e-05
1469748330990,-1.175,2.353e-05
1469748331000,-1.175,2.8236e-05
1469748331010,-1.175,2.172e-05
1469748331020,-1.175,3.2942e-05
1469748331030,-1.175,1.3755999999999998e-05
1469748331040,-1.175,2.2444e-05
1469748331050,-1.175,1.4842000000000001e-05
1469748331060,-1.175,2.0272000000000002e-05
1469748331070,-1.175,1.6652e-05
1469748331080,-1.175,1.8824e-05
1469748331090,-1.175,2.0996e-05
1469748331100,-1.175,2.172e-05
1469748331110,-1.175,3.0046e-05
1469748331120,-1.175,2.172e-05
1469748331130,-1.175,2.0996e-05
1469748331140,-1.175,3.9458e-05
1469748331150,-1.175,2.2805999999999998e-05
1469748331160,-1.175,6.4436e-05
1469748331170,-1.175,1.7375999999999998e-05
1469748331180,-1.175,3.1856e-05
1469748331190,-1.175,2.6064e-05
1469748331200,-1.175,3.1494e-05
1469748331210,-1.175,5.6834e-05
1469748331220,-1.175,2.6426e-05
1469748331230,-1.175,2.6788000000000002e-05
1469748331240,-1.175,1.991e-05
1469748331250,-1.175,1.6652e-05
1469748331260,-1.175,2.7511999999999997e-05
1469748331270,-1.175,1.7738e-05
1469748331280,-1.175,1.991e-05
1469748331290,-1.175,1.4118e-05
1469748331300,-1.175,1.5928e-05
1469748331310,-1.175,1.4118e-05
1469748331320,-1.175,1.9548e-05
1469748331330,-1.175,2.2444e-05
1469748331340,-1.175,1.9548e-05
1469748331350,-1.175,1.8462e-05
1469748331360,-1.175,2.2805999999999998e-05
1469748331370,-1.175,2.2444e-05
1469748331380,-1.175,4.887e-05
1469748331390,-1.175,2.5702e-05
1469748331400,-1.175,3.4028e-05
1469748331410,-1.175,1.8462e-05
1469748331420,-1.175,2.6788000000000002e-05
1469748331430,-1.175,2.4616e-05
1469748331440,-1.175,2.7511999999999997e-05
1469748331450,-1.175,2.0634e-05
1469748331460,-1.175,1.7738e-05
1469748331470,-1.175,1.448e-05
1469748331480,-1.175,2.0272000000000002e-05
1469748331490,-1.175,1.7014e-05
1469748331500,-1.175,1.8824e-05
1469748331510,-1.175,1.3755999999999998e-05
1469748331520,-1.175,1.9186e-05
1469748331530,-1.175,1.629e-05
1469748331540,-1.175,2.1358e-05
1469748331550,-1.175,1.7014e-05
1469748331560,-1.175,1.8462e-05
1469748331570,-1.175,1.7738e-05
1469748331580,-1.175,2.1358e-05
1469748331590,-1.175,2.172e-05
1469748331600,-1.175,2.4254000000000002e-05
1469748331610,-1.175,3.2942e-05
1469748331620,-1.175,4.344e-05
1469748331630,-1.175,2.0272000000000002e-05
1469748331640,-1.175,3.5838000000000005e-05
1469748331650,-1.175,4.1268e-05
1469748331660,-1.175,5.4662e-05
1469748331670,-1.175,3.2218e-05
1469748331680,-1.175,2.0272000000000002e-05
1469748331690,-1.175,1.8824e-05
1469748331700,-1.175,2.5702e-05
1469748331710,-1.175,2.1358e-05
1469748331720,-1.175,1.991e-05
1469748331730,-1.175,1.4118e-05
1469748331740,-1.175,1.9186e-05
1469748331750,-1.175,1.7014e-05
1469748331760,-1.175,1.9186e-05
1469748331770,-1.175,1.4842000000000001e-05
1469748331780,-1.175,1.8100000000000003e-05
1469748331790,-1.175,1.5928e-05
1469748331800,-1.175,2.1358e-05
1469748331810,-1.175,2.6064e-05
1469748331820,-1.175,2.353e-05
1469748331830,-1.175,4.0181999999999996e-05
1469748331840,-1.175,3.9458e-05
1469748331850,-1.175,3.0408e-05
1469748331860,-1.175,2.8598000000000003e-05
1469748331870,-1.175,2.6426e-05
1469748331880,-1.175,4.1992e-05
1469748331890,-1.175,2.2805999999999998e-05
1469748331900,-1.175,2.1358e-05
1469748331910,-1.175,1.5204e-05
1469748331920,-1.175,1.9548e-05
1469748331930,-1.175,1.6652e-05
1469748331940,-1.175,2.172e-05
1469748331950,-1.175,1.4118e-05
1469748331960,-1.175,1.8462e-05
1469748331970,-1.175,1.4842000000000001e-05
1469748331980,-1.175,2.1358e-05
1469748331990,-1.175,2.0272000000000002e-05
1469748332000,-1.175,2.2082e-05
1469748332010,-1.175,1.4842000000000001e-05
1469748332020,-1.175,1.991e-05
1469748332030,-1.175,1.9548e-05
1469748332040,-1.175,2.0996e-05
1469748332050,-1.175,1.8462e-05
1469748332060,-1.175,2.4978e-05
1469748332070,-1.175,3.8734e-05
1469748332080,-1.175,3.1856e-05
1469748332090,-1.175,5.6834e-05
1469748332100,-1.175,4.3078e-05
1469748332110,-1.175,3.3666e-05
1469748332120,-1.175,3.439e-05
1469748332130,-1.175,3.1494e-05
1469748332140,-1.175,3.2218e-05
1469748332150,-1.175,1.6652e-05
1469748332160,-1.175,1.8100000000000003e-05
1469748332170,-1.175,1.6652e-05
1469748332180,-1.175,2.3168000000000002e-05
1469748332190,-1.175,1.3394000000000001e-05
1469748332200,-1.175,1.8462e-05
1469748332210,-1.175,1.3755999999999998e-05
1469748332220,-1.175,1.9548e-05
1469748332230,-1.175,1.5204e-05
1469748332240,-1.175,2.2444e-05
1469748332250,-1.175,1.629e-05
1469748332260,-1.175,2.2805999999999998e-05
1469748332270,-1.175,2.2805999999999998e-05
1469748332280,-1.175,2.534e-05
1469748332290,-1.175,3.0046e-05
1469748332300,-1.175,2.7511999999999997e-05
1469748332310,-1.175,3.9458e-05
1469748332320,-1.175,3.4751999999999995e-05
1469748332330,-1.175,5.973e-05
1469748332340,-1.175,3.8734e-05
1469748332350,-1.175,2.3891999999999998e-05
1469748332360,-1.175,2.4254000000000002e-05
1469748332370,-1.175,2.3168000000000002e-05
1469748332380,-1.175,2.7874e-05
1469748332390,-1.175,1.629e-05
1469748332400,-1.175,2.1358e-05
1469748332410,-1.175,1.4118e-05
1469748332420,-1.175,2.0634e-05
1469748332430,-1.175,1.3755999999999998e-05
1469748332440,-1.175,2.2805999999999998e-05
1469748332450,-1.175,1.3755999999999998e-05
1469748332460,-1.175,1.8100000000000003e-05
