Timestamp,position,BLMTI.05R7.B1E10_TCSG.B5R7.B1
1469748854260,-1.14,6.7332e-05
1469748854270,-1.14,6.6608e-05
1469748854280,-1.14,6.4074e-05
1469748854290,-1.14,5.9368000000000005e-05
1469748854300,-1.14,5.7558e-05
1469748854310,-1.14,5.2128e-05
1469748854320,-1.14,5.1042e-05
1469748854330,-1.14,5.068e-05
1469748854340,-1.14,5.068e-05
1469748854350,-1.14,5.3938000000000004e-05
1469748854360,-1.14,6.4798e-05
1469748854370,-1.14,7.3124e-05
1469748854380,-1.14,8.5432e-05
1469748854390,-1.14,8.470799999999999e-05
1469748854400,-1.14,7.276199999999999e-05
1469748854410,-1.14,5.8643999999999996e-05
1469748854420,-1.14,5.7196000000000006e-05
1469748854430,-1.14,5.5386e-05
1469748854440,-1.14,5.3576000000000003e-05
1469748854450,-1.14,5.1042e-05
1469748854460,-1.14,4.7783999999999995e-05
1469748854470,-1.14,5.429999999999999e-05
1469748854480,-1.14,6.154e-05
1469748854490,-1.14,6.0453999999999994e-05
1469748854500,-1.14,5.6834e-05
1469748854510,-1.14,5.611e-05
1469748854520,-1.14,5.973e-05
1469748854530,-1.14,6.3712e-05
1469748854540,-1.14,5.9368000000000005e-05
1469748854550,-1.14,5.8643999999999996e-05
1469748854560,-1.14,6.0453999999999994e-05
1469748854570,-1.14,5.2852e-05
1469748854580,-1.14,4.8508000000000004e-05
1469748854590,-1.14,4.4526e-05
1469748854600,-1.14,4.8508000000000004e-05
1469748854610,-1.14,4.7422e-05
1469748854620,-1.14,4.7783999999999995e-05
1469748854630,-1.14,5.068e-05
1469748854640,-1.14,5.3938000000000004e-05
1469748854650,-1.14,5.5748e-05
1469748854660,-1.14,5.973e-05
1469748854670,-1.14,6.2264e-05
1469748854680,-1.14,6.2264e-05
1469748854690,-1.14,6.516e-05
1469748854700,-1.14,5.3213999999999996e-05
1469748854710,-1.14,5.2128e-05
1469748854720,-1.14,4.8508000000000004e-05
1469748854730,-1.14,5.1404e-05
1469748854740,-1.14,4.887e-05
1469748854750,-1.14,5.3213999999999996e-05
