Timestamp,position,BLMTI.06R7.B2I10_TCP.B6R7.B2
1469748967470,-1.17,8.108800000000001e-05
1469748967480,-1.17,8.145e-05
1469748967490,-1.17,9.412e-05
1469748967500,-1.17,0.00010353200000000001
1469748967510,-1.17,0.00011620200000000001
1469748967520,-1.17,0.000106066
1469748967530,-1.17,0.00010172200000000001
1469748967540,-1.17,8.869e-05
1469748967550,-1.17,8.7966e-05
1469748967560,-1.17,7.783e-05
1469748967570,-1.17,7.8192e-05
1469748967580,-1.17,7.6744e-05
1469748967590,-1.17,8.108800000000001e-05
1469748967600,-1.17,7.059e-05
1469748967610,-1.17,7.5658e-05
1469748967620,-1.17,6.5522e-05
1469748967630,-1.17,7.276199999999999e-05
1469748967640,-1.17,7.3848e-05
1469748967650,-1.17,7.964e-05
1469748967660,-1.17,7.964e-05
1469748967670,-1.17,7.8192e-05
1469748967680,-1.17,7.783e-05
1469748967690,-1.17,8.434600000000001e-05
1469748967700,-1.17,7.6382e-05
1469748967710,-1.17,6.8056e-05
1469748967720,-1.17,6.3712e-05
1469748967730,-1.17,6.2626e-05
1469748967740,-1.17,6.950399999999999e-05
1469748967750,-1.17,7.3848e-05
1469748967760,-1.17,7.421e-05
1469748967770,-1.17,8.289799999999999e-05
1469748967780,-1.17,8.3984e-05
1469748967790,-1.17,8.1812e-05
1469748967800,-1.17,6.6246e-05
1469748967810,-1.17,6.516e-05
1469748967820,-1.17,5.8643999999999996e-05
1469748967830,-1.17,6.0816e-05
1469748967840,-1.17,5.611e-05
1469748967850,-1.17,7.059e-05
1469748967860,-1.17,7.0228e-05
1469748967870,-1.17,7.421e-05
1469748967880,-1.17,7.348600000000001e-05
1469748967890,-1.17,7.4934e-05
1469748967900,-1.17,6.4798e-05
1469748967910,-1.17,6.4074e-05
1469748967920,-1.17,6.697e-05
1469748967930,-1.17,6.697e-05
1469748967940,-1.17,5.973e-05
1469748967950,-1.17,5.8643999999999996e-05
1469748967960,-1.17,5.1042e-05
1469748967970,-1.17,6.154e-05
1469748967980,-1.17,5.611e-05
1469748967990,-1.17,6.154e-05
1469748968000,-1.17,5.5748e-05
1469748968010,-1.17,6.154e-05
1469748968020,-1.17,6.0092e-05
1469748968030,-1.17,6.0092e-05
1469748968040,-1.17,5.5748e-05
1469748968050,-1.17,5.611e-05
1469748968060,-1.17,4.5611999999999996e-05
1469748968070,-1.17,4.7422e-05
1469748968080,-1.17,4.2716e-05
1469748968090,-1.17,4.4888e-05
1469748968100,-1.17,4.5611999999999996e-05
1469748968110,-1.17,5.1766000000000005e-05
1469748968120,-1.17,5.068e-05
1469748968130,-1.17,5.1766000000000005e-05
1469748968140,-1.17,4.9232e-05
1469748968150,-1.17,4.7422e-05
1469748968160,-1.17,4.4526e-05
1469748968170,-1.17,5.3576000000000003e-05
1469748968180,-1.17,5.1766000000000005e-05
1469748968190,-1.17,5.1766000000000005e-05
1469748968200,-1.17,4.0906e-05
1469748968210,-1.17,4.5974e-05
