Timestamp,position,BLMTI.06L7.B1E10_TCP.D6L7.B1
1469986596650,0.795,3.4028e-05
1469986596660,0.795,2.8236e-05
1469986596670,0.795,2.4616e-05
1469986596680,0.795,2.0996e-05
1469986596690,0.795,2.4254000000000002e-05
1469986596700,0.795,1.991e-05
1469986596710,0.795,2.1358e-05
1469986596720,0.795,1.8100000000000003e-05
1469986596730,0.795,1.9548e-05
1469986596740,0.795,1.7014e-05
1469986596750,0.795,2.0272000000000002e-05
1469986596760,0.795,2.172e-05
1469986596770,0.795,2.9684000000000002e-05
1469986596780,0.795,4.1268e-05
1469986596790,0.795,5.7558e-05
1469986596800,0.795,7.0228e-05
1469986596810,0.795,7.6744e-05
1469986596820,0.795,8.3622e-05
1469986596830,0.795,7.5658e-05
1469986596840,0.795,7.348600000000001e-05
1469986596850,0.795,5.7196000000000006e-05
1469986596860,0.795,4.5611999999999996e-05
1469986596870,0.795,3.4028e-05
1469986596880,0.795,2.4978e-05
1469986596890,0.795,2.4254000000000002e-05
1469986596900,0.795,1.9548e-05
1469986596910,0.795,2.3168000000000002e-05
1469986596920,0.795,1.7738e-05
1469986596930,0.795,2.2805999999999998e-05
1469986596940,0.795,1.629e-05
1469986596950,0.795,1.9548e-05
1469986596960,0.795,1.4118e-05
1469986596970,0.795,1.7375999999999998e-05
1469986596980,0.795,1.629e-05
1469986596990,0.795,2.4254000000000002e-05
1469986597000,0.795,2.896e-05
1469986597010,0.795,4.4888e-05
1469986597020,0.795,6.1178e-05
1469986597030,0.795,7.348600000000001e-05
1469986597040,0.795,9.0138e-05
1469986597050,0.795,8.2536e-05
1469986597060,0.795,7.5296e-05
1469986597070,0.795,6.0453999999999994e-05
1469986597080,0.795,5.3213999999999996e-05
1469986597090,0.795,4.5974e-05
1469986597100,0.795,2.9684000000000002e-05
1469986597110,0.795,2.6788000000000002e-05
1469986597120,0.795,1.9548e-05
1469986597130,0.795,2.1358e-05
1469986597140,0.795,1.5928e-05
1469986597150,0.795,1.8824e-05
1469986597160,0.795,1.5566e-05
1469986597170,0.795,1.8462e-05
1469986597180,0.795,1.267e-05
1469986597190,0.795,1.8462e-05
1469986597200,0.795,1.3755999999999998e-05
1469986597210,0.795,2.2082e-05
1469986597220,0.795,2.4616e-05
1469986597230,0.795,3.439e-05
1469986597240,0.795,4.525e-05
1469986597250,0.795,5.3576000000000003e-05
1469986597260,0.795,6.841800000000001e-05
1469986597270,0.795,8.651799999999999e-05
1469986597280,0.795,7.4934e-05
1469986597290,0.795,5.5748e-05
1469986597300,0.795,4.2353999999999995e-05
1469986597310,0.795,3.5838000000000005e-05
1469986597320,0.795,2.4978e-05
1469986597330,0.795,2.4616e-05
1469986597340,0.795,1.6652e-05
1469986597350,0.795,1.8824e-05
1469986597360,0.795,1.5204e-05
1469986597370,0.795,1.8100000000000003e-05
1469986597380,0.795,1.4118e-05
1469986597390,0.795,1.7738e-05
1469986597400,0.795,1.1945999999999999e-05
1469986597410,0.795,1.7014e-05
1469986597420,0.795,1.1945999999999999e-05
1469986597430,0.795,1.9186e-05
1469986597440,0.795,1.8462e-05
1469986597450,0.795,2.9321999999999998e-05
1469986597460,0.795,3.8372e-05
1469986597470,0.795,4.9956e-05
1469986597480,0.795,6.0092e-05
1469986597490,0.795,6.154e-05
1469986597500,0.795,5.3213999999999996e-05
1469986597510,0.795,5.5748e-05
1469986597520,0.795,4.6698e-05
1469986597530,0.795,4.0544000000000003e-05
1469986597540,0.795,2.6426e-05
1469986597550,0.795,2.4616e-05
1469986597560,0.795,1.7375999999999998e-05
1469986597570,0.795,2.0272000000000002e-05
1469986597580,0.795,1.2308e-05
1469986597590,0.795,1.8824e-05
1469986597600,0.795,1.1584000000000001e-05
1469986597610,0.795,1.629e-05
1469986597620,0.795,1.0498e-05
1469986597630,0.795,1.5204e-05
1469986597640,0.795,9.774e-06
1469986597650,0.795,1.6652e-05
1469986597660,0.795,1.5928e-05
1469986597670,0.795,2.2082e-05
1469986597680,0.795,2.4254000000000002e-05
1469986597690,0.795,3.7648e-05
1469986597700,0.795,4.5611999999999996e-05
1469986597710,0.795,5.249e-05
1469986597720,0.795,5.1404e-05
1469986597730,0.795,5.2128e-05
1469986597740,0.795,4.1268e-05
1469986597750,0.795,4.2353999999999995e-05
1469986597760,0.795,2.7511999999999997e-05
1469986597770,0.795,2.6426e-05
1469986597780,0.795,1.5566e-05
1469986597790,0.795,1.8462e-05
1469986597800,0.795,1.086e-05
1469986597810,0.795,1.7014e-05
1469986597820,0.795,1.0498e-05
1469986597830,0.795,1.629e-05
1469986597840,0.795,9.774e-06
1469986597850,0.795,1.448e-05
1469986597860,0.795,7.964e-06
1469986597870,0.795,1.448e-05
1469986597880,0.795,1.1222e-05
1469986597890,0.795,1.8100000000000003e-05
1469986597900,0.795,1.448e-05
1469986597910,0.795,2.715e-05
1469986597920,0.795,3.077e-05
1469986597930,0.795,3.8372e-05
1469986597940,0.795,3.5114e-05
1469986597950,0.795,4.2353999999999995e-05
1469986597960,0.795,4.0906e-05
1469986597970,0.795,3.9096e-05
1469986597980,0.795,2.2444e-05
1469986597990,0.795,2.353e-05
1469986598000,0.795,1.3394000000000001e-05
1469986598010,0.795,1.7014e-05
1469986598020,0.795,9.774e-06
1469986598030,0.795,1.5566e-05
1469986598040,0.795,9.774e-06
1469986598050,0.795,1.5204e-05
1469986598060,0.795,9.05e-06
1469986598070,0.795,1.3032e-05
1469986598080,0.795,7.964e-06
1469986598090,0.795,1.3755999999999998e-05
1469986598100,0.795,8.687999999999999e-06
1469986598110,0.795,1.5204e-05
1469986598120,0.795,1.5566e-05
1469986598130,0.795,2.0996e-05
1469986598140,0.795,2.172e-05
1469986598150,0.795,3.2218e-05
1469986598160,0.795,3.5476e-05
1469986598170,0.795,4.163e-05
1469986598180,0.795,3.1494e-05
1469986598190,0.795,3.5838000000000005e-05
1469986598200,0.795,2.3891999999999998e-05
1469986598210,0.795,2.6788000000000002e-05
1469986598220,0.795,1.5928e-05
1469986598230,0.795,1.9186e-05
1469986598240,0.795,9.774e-06
1469986598250,0.795,1.5928e-05
1469986598260,0.795,8.326e-06
1469986598270,0.795,1.448e-05
