Timestamp,position,BLMTI.05L3.B2E10_TCLA.A5L3.B2
1469991726980,0.885,2.1719999999999997e-06
1469991726990,0.885,7.240000000000001e-07
1469991727000,0.885,1.4480000000000002e-06
1469991727010,0.885,1.0859999999999999e-06
1469991727020,0.885,2.5340000000000002e-06
1469991727030,0.885,1.0859999999999999e-06
1469991727040,0.885,1.4480000000000002e-06
1469991727050,0.885,7.240000000000001e-07
1469991727060,0.885,1.81e-06
1469991727070,0.885,1.0859999999999999e-06
1469991727080,0.885,1.4480000000000002e-06
1469991727090,0.885,1.0859999999999999e-06
1469991727100,0.885,1.81e-06
1469991727110,0.885,1.0859999999999999e-06
1469991727120,0.885,1.4480000000000002e-06
1469991727130,0.885,1.4480000000000002e-06
1469991727140,0.885,1.81e-06
1469991727150,0.885,1.4480000000000002e-06
1469991727160,0.885,1.0859999999999999e-06
1469991727170,0.885,7.240000000000001e-07
1469991727180,0.885,2.8960000000000003e-06
1469991727190,0.885,7.240000000000001e-07
1469991727200,0.885,7.240000000000001e-07
1469991727210,0.885,3.6200000000000004e-07
1469991727220,0.885,1.4480000000000002e-06
1469991727230,0.885,1.4480000000000002e-06
1469991727240,0.885,7.240000000000001e-07
1469991727250,0.885,1.0859999999999999e-06
1469991727260,0.885,1.0859999999999999e-06
1469991727270,0.885,1.0859999999999999e-06
1469991727280,0.885,1.4480000000000002e-06
1469991727290,0.885,1.0859999999999999e-06
1469991727300,0.885,1.81e-06
1469991727310,0.885,3.6200000000000004e-07
1469991727320,0.885,1.0859999999999999e-06
1469991727330,0.885,1.0859999999999999e-06
1469991727340,0.885,2.5340000000000002e-06
1469991727350,0.885,0.0
1469991727360,0.885,1.4480000000000002e-06
1469991727370,0.885,7.240000000000001e-07
1469991727380,0.885,2.5340000000000002e-06
1469991727390,0.885,7.240000000000001e-07
1469991727400,0.885,1.4480000000000002e-06
1469991727410,0.885,7.240000000000001e-07
1469991727420,0.885,2.1719999999999997e-06
1469991727430,0.885,7.240000000000001e-07
1469991727440,0.885,1.81e-06
1469991727450,0.885,1.0859999999999999e-06
1469991727460,0.885,2.1719999999999997e-06
1469991727470,0.885,3.6200000000000004e-07
1469991727480,0.885,1.81e-06
1469991727490,0.885,7.240000000000001e-07
1469991727500,0.885,1.4480000000000002e-06
1469991727510,0.885,7.240000000000001e-07
1469991727520,0.885,1.81e-06
1469991727530,0.885,3.6200000000000004e-07
1469991727540,0.885,1.4480000000000002e-06
1469991727550,0.885,1.0859999999999999e-06
