Timestamp,position,BLMTI.05R3.B1I10_TCLA.A5R3.B1
1469992103000,0.92,5.611e-05
1469992103010,0.92,4.6336000000000005e-05
1469992103020,0.92,5.1404e-05
1469992103030,0.92,5.973e-05
1469992103040,0.92,7.783e-05
1469992103050,0.92,7.5296e-05
1469992103060,0.92,7.059e-05
1469992103070,0.92,6.5522e-05
1469992103080,0.92,7.0952e-05
1469992103090,0.92,9.6654e-05
1469992103100,0.92,0.00012127
1469992103110,0.92,9.231e-05
1469992103120,0.92,6.335e-05
1469992103130,0.92,5.429999999999999e-05
1469992103140,0.92,6.841800000000001e-05
1469992103150,0.92,6.2264e-05
1469992103160,0.92,6.7332e-05
1469992103170,0.92,5.068e-05
1469992103180,0.92,4.7422e-05
1469992103190,0.92,4.706e-05
1469992103200,0.92,4.7422e-05
1469992103210,0.92,5.0318e-05
1469992103220,0.92,4.3802e-05
1469992103230,0.92,4.8146e-05
1469992103240,0.92,4.7783999999999995e-05
1469992103250,0.92,4.7422e-05
1469992103260,0.92,4.5974e-05
1469992103270,0.92,4.4164e-05
1469992103280,0.92,5.068e-05
1469992103290,0.92,4.706e-05
1469992103300,0.92,5.3213999999999996e-05
1469992103310,0.92,4.7783999999999995e-05
1469992103320,0.92,4.9956e-05
1469992103330,0.92,4.1268e-05
1469992103340,0.92,4.5611999999999996e-05
1469992103350,0.92,5.4662e-05
1469992103360,0.92,5.7196000000000006e-05
1469992103370,0.92,5.068e-05
1469992103380,0.92,4.1992e-05
1469992103390,0.92,4.3078e-05
1469992103400,0.92,4.7422e-05
1469992103410,0.92,4.163e-05
1469992103420,0.92,4.3078e-05
1469992103430,0.92,3.8372e-05
1469992103440,0.92,4.6336000000000005e-05
1469992103450,0.92,4.706e-05
1469992103460,0.92,5.3938000000000004e-05
1469992103470,0.92,4.4888e-05
1469992103480,0.92,6.4074e-05
1469992103490,0.92,7.7106e-05
1469992103500,0.92,7.3124e-05
1469992103510,0.92,8.9052e-05
1469992103520,0.92,6.5522e-05
1469992103530,0.92,8.108800000000001e-05
1469992103540,0.92,7.0228e-05
1469992103550,0.92,9.737799999999999e-05
1469992103560,0.92,6.2264e-05
1469992103570,0.92,4.4526e-05
1469992103580,0.92,4.5974e-05
1469992103590,0.92,5.4662e-05
1469992103600,0.92,8.2174e-05
1469992103610,0.92,5.1042e-05
1469992103620,0.92,4.887e-05
1469992103630,0.92,4.7422e-05
1469992103640,0.92,9.1948e-05
1469992103650,0.92,7.1314e-05
1469992103660,0.92,5.611e-05
1469992103670,0.92,4.2716e-05
1469992103680,0.92,5.2128e-05
1469992103690,0.92,4.2716e-05
1469992103700,0.92,5.5023999999999994e-05
1469992103710,0.92,4.9232e-05
1469992103720,0.92,4.6698e-05
1469992103730,0.92,4.2716e-05
1469992103740,0.92,3.982e-05
1469992103750,0.92,3.8372e-05
1469992103760,0.92,4.3078e-05
1469992103770,0.92,4.706e-05
1469992103780,0.92,3.9458e-05
1469992103790,0.92,4.2353999999999995e-05
1469992103800,0.92,4.163e-05
1469992103810,0.92,5.7196000000000006e-05
1469992103820,0.92,4.959399999999999e-05
1469992103830,0.92,3.7286e-05
1469992103840,0.92,3.6200000000000006e-05
1469992103850,0.92,3.5838000000000005e-05
1469992103860,0.92,4.0906e-05
1469992103870,0.92,3.4751999999999995e-05
1469992103880,0.92,3.5114e-05
1469992103890,0.92,4.0181999999999996e-05
1469992103900,0.92,3.5476e-05
1469992103910,0.92,4.0544000000000003e-05
1469992103920,0.92,3.5114e-05
1469992103930,0.92,3.9096e-05
1469992103940,0.92,3.7648e-05
1469992103950,0.92,3.7286e-05
1469992103960,0.92,3.6200000000000006e-05
1469992103970,0.92,4.0906e-05
1469992103980,0.92,4.0544000000000003e-05
1469992103990,0.92,5.9368000000000005e-05
1469992104000,0.92,4.0906e-05
1469992104010,0.92,6.2264e-05
1469992104020,0.92,4.0544000000000003e-05
1469992104030,0.92,5.9368000000000005e-05
1469992104040,0.92,6.5522e-05
1469992104050,0.92,0.000100998
1469992104060,0.92,6.697e-05
1469992104070,0.92,4.5611999999999996e-05
1469992104080,0.92,6.769399999999999e-05
1469992104090,0.92,8.0726e-05
1469992104100,0.92,9.556799999999999e-05
1469992104110,0.92,4.5611999999999996e-05
1469992104120,0.92,5.4662e-05
1469992104130,0.92,5.429999999999999e-05
1469992104140,0.92,0.000121994
1469992104150,0.92,6.4436e-05
1469992104160,0.92,4.8508000000000004e-05
1469992104170,0.92,4.4164e-05
1469992104180,0.92,5.2128e-05
1469992104190,0.92,5.611e-05
1469992104200,0.92,4.3078e-05
1469992104210,0.92,4.2353999999999995e-05
1469992104220,0.92,4.4888e-05
1469992104230,0.92,5.8281999999999995e-05
1469992104240,0.92,4.344e-05
1469992104250,0.92,5.2852e-05
1469992104260,0.92,4.1992e-05
1469992104270,0.92,5.0318e-05
1469992104280,0.92,4.163e-05
1469992104290,0.92,5.068e-05
1469992104300,0.92,4.4888e-05
1469992104310,0.92,3.6924e-05
1469992104320,0.92,4.6336000000000005e-05
1469992104330,0.92,4.525e-05
1469992104340,0.92,4.9956e-05
1469992104350,0.92,3.9458e-05
1469992104360,0.92,4.0906e-05
1469992104370,0.92,3.4028e-05
1469992104380,0.92,3.6924e-05
1469992104390,0.92,4.8508000000000004e-05
1469992104400,0.92,4.2353999999999995e-05
1469992104410,0.92,3.439e-05
1469992104420,0.92,4.0181999999999996e-05
1469992104430,0.92,3.9096e-05
1469992104440,0.92,4.3078e-05
1469992104450,0.92,3.2942e-05
1469992104460,0.92,3.5114e-05
1469992104470,0.92,3.4028e-05
1469992104480,0.92,3.7648e-05
1469992104490,0.92,3.3666e-05
1469992104500,0.92,3.2942e-05
