Timestamp,position,BLMTI.06R7.B2I10_TCP.D6R7.B2
1469983462910,-0.21,5.43e-06
1469983462920,-0.21,9.412e-06
1469983462930,-0.21,5.0680000000000004e-06
1469983462940,-0.21,9.774e-06
1469983462950,-0.21,5.792000000000001e-06
1469983462960,-0.21,1.086e-05
1469983462970,-0.21,6.516e-06
1469983462980,-0.21,1.0498e-05
1469983462990,-0.21,5.792000000000001e-06
1469983463000,-0.21,9.412e-06
1469983463010,-0.21,6.154e-06
1469983463020,-0.21,7.24e-06
1469983463030,-0.21,5.0680000000000004e-06
1469983463040,-0.21,8.326e-06
1469983463050,-0.21,3.982e-06
1469983463060,-0.21,8.687999999999999e-06
1469983463070,-0.21,4.706e-06
1469983463080,-0.21,9.05e-06
1469983463090,-0.21,3.982e-06
1469983463100,-0.21,6.877999999999999e-06
1469983463110,-0.21,4.343999999999999e-06
1469983463120,-0.21,7.602e-06
1469983463130,-0.21,4.706e-06
1469983463140,-0.21,7.964e-06
1469983463150,-0.21,5.0680000000000004e-06
1469983463160,-0.21,9.05e-06
1469983463170,-0.21,4.706e-06
1469983463180,-0.21,9.05e-06
1469983463190,-0.21,5.43e-06
1469983463200,-0.21,8.687999999999999e-06
1469983463210,-0.21,5.0680000000000004e-06
1469983463220,-0.21,7.602e-06
1469983463230,-0.21,5.792000000000001e-06
1469983463240,-0.21,8.687999999999999e-06
1469983463250,-0.21,4.706e-06
1469983463260,-0.21,7.602e-06
1469983463270,-0.21,4.343999999999999e-06
1469983463280,-0.21,7.24e-06
1469983463290,-0.21,3.982e-06
1469983463300,-0.21,6.877999999999999e-06
1469983463310,-0.21,4.343999999999999e-06
1469983463320,-0.21,8.326e-06
1469983463330,-0.21,5.43e-06
1469983463340,-0.21,6.516e-06
1469983463350,-0.21,4.706e-06
1469983463360,-0.21,7.24e-06
1469983463370,-0.21,3.62e-06
1469983463380,-0.21,5.792000000000001e-06
1469983463390,-0.21,5.0680000000000004e-06
1469983463400,-0.21,7.24e-06
1469983463410,-0.21,4.706e-06
1469983463420,-0.21,7.24e-06
1469983463430,-0.21,4.343999999999999e-06
1469983463440,-0.21,6.154e-06
1469983463450,-0.21,3.982e-06
1469983463460,-0.21,7.24e-06
1469983463470,-0.21,3.258e-06
1469983463480,-0.21,6.516e-06
1469983463490,-0.21,4.343999999999999e-06
1469983463500,-0.21,7.24e-06
1469983463510,-0.21,4.706e-06
1469983463520,-0.21,5.792000000000001e-06
1469983463530,-0.21,3.982e-06
1469983463540,-0.21,6.877999999999999e-06
1469983463550,-0.21,3.982e-06
1469983463560,-0.21,6.154e-06
1469983463570,-0.21,3.62e-06
1469983463580,-0.21,6.516e-06
1469983463590,-0.21,3.982e-06
1469983463600,-0.21,6.877999999999999e-06
1469983463610,-0.21,4.706e-06
1469983463620,-0.21,6.516e-06
1469983463630,-0.21,3.62e-06
1469983463640,-0.21,6.877999999999999e-06
1469983463650,-0.21,3.258e-06
1469983463660,-0.21,6.516e-06
1469983463670,-0.21,5.0680000000000004e-06
1469983463680,-0.21,6.516e-06
1469983463690,-0.21,3.62e-06
1469983463700,-0.21,7.24e-06
1469983463710,-0.21,3.982e-06
1469983463720,-0.21,5.43e-06
1469983463730,-0.21,3.62e-06
1469983463740,-0.21,6.877999999999999e-06
1469983463750,-0.21,2.8960000000000003e-06
1469983463760,-0.21,6.516e-06
1469983463770,-0.21,3.62e-06
1469983463780,-0.21,6.877999999999999e-06
1469983463790,-0.21,3.62e-06
1469983463800,-0.21,6.154e-06
1469983463810,-0.21,4.343999999999999e-06
1469983463820,-0.21,6.154e-06
1469983463830,-0.21,3.258e-06
1469983463840,-0.21,5.792000000000001e-06
1469983463850,-0.21,3.982e-06
1469983463860,-0.21,6.877999999999999e-06
1469983463870,-0.21,3.62e-06
1469983463880,-0.21,5.43e-06
1469983463890,-0.21,2.8960000000000003e-06
1469983463900,-0.21,6.877999999999999e-06
1469983463910,-0.19,4.706e-06
1469983463920,-0.19,6.154e-06
1469983463930,-0.19,3.258e-06
1469983463940,-0.19,5.43e-06
1469983463950,-0.19,3.62e-06
1469983463960,-0.19,6.154e-06
1469983463970,-0.19,2.8960000000000003e-06
1469983463980,-0.19,6.154e-06
1469983463990,-0.19,3.258e-06
1469983464000,-0.19,5.43e-06
1469983464010,-0.19,3.62e-06
1469983464020,-0.19,6.877999999999999e-06
1469983464030,-0.19,3.982e-06
1469983464040,-0.19,6.877999999999999e-06
1469983464050,-0.19,2.8960000000000003e-06
1469983464060,-0.19,5.792000000000001e-06
1469983464070,-0.19,3.258e-06
1469983464080,-0.19,5.43e-06
1469983464090,-0.19,3.258e-06
1469983464100,-0.19,4.706e-06
1469983464110,-0.19,3.62e-06
1469983464120,-0.19,6.154e-06
1469983464130,-0.19,3.982e-06
1469983464140,-0.19,6.154e-06
1469983464150,-0.19,3.982e-06
1469983464160,-0.19,5.792000000000001e-06
1469983464170,-0.19,3.62e-06
1469983464180,-0.19,6.516e-06
1469983464190,-0.19,3.258e-06
1469983464200,-0.19,5.792000000000001e-06
1469983464210,-0.19,4.343999999999999e-06
1469983464220,-0.19,6.154e-06
1469983464230,-0.19,2.5340000000000002e-06
1469983464240,-0.19,5.792000000000001e-06
1469983464250,-0.19,3.258e-06
1469983464260,-0.19,5.43e-06
1469983464270,-0.19,4.343999999999999e-06
1469983464280,-0.19,5.792000000000001e-06
1469983464290,-0.19,4.9956e-05
1469983464300,-0.19,0.000150954
1469983464310,-0.19,0.000248694
1469983464320,-0.19,0.00024797
1469983464330,-0.19,0.00029068599999999996
1469983464340,-0.19,0.00027077599999999997
1469983464350,-0.19,0.00025340000000000003
1469983464360,-0.19,0.000257382
1469983464370,-0.19,0.000226612
1469983464380,-0.19,0.000225888
1469983464390,-0.19,0.000205616
1469983464400,-0.19,0.00018462
1469983464410,-0.19,0.000183534
1469983464420,-0.19,0.00016941599999999998
1469983464430,-0.19,0.00014697200000000002
