Timestamp,position,BLMTI.06R7.B2I10_TCP.D6R7.B2
1469986724020,0.0,5.5386e-05
1469986724030,0.0,6.8056e-05
1469986724040,0.0,5.9368000000000005e-05
1469986724050,0.0,6.4798e-05
1469986724060,0.0,5.429999999999999e-05
1469986724070,0.0,6.0453999999999994e-05
1469986724080,0.0,5.2852e-05
1469986724090,0.0,5.8281999999999995e-05
1469986724100,0.0,5.2852e-05
1469986724110,0.0,6.2988e-05
1469986724120,0.0,5.3213999999999996e-05
1469986724130,0.0,6.0816e-05
1469986724140,0.0,5.5386e-05
1469986724150,0.0,6.4074e-05
1469986724160,0.0,5.8281999999999995e-05
1469986724170,0.0,6.878e-05
1469986724180,0.0,6.2626e-05
1469986724190,0.0,6.9142e-05
1469986724200,0.0,6.697e-05
1469986724210,0.0,7.1314e-05
1469986724220,0.0,5.7196000000000006e-05
1469986724230,0.0,6.9866e-05
1469986724240,0.0,5.6472e-05
1469986724250,0.0,6.3712e-05
1469986724260,0.0,5.0318e-05
1469986724270,0.0,6.2264e-05
1469986724280,0.0,5.249e-05
1469986724290,0.0,5.5748e-05
1469986724300,0.0,4.9956e-05
1469986724310,0.0,5.2128e-05
1469986724320,0.0,4.1992e-05
1469986724330,0.0,5.1766000000000005e-05
1469986724340,0.0,4.344e-05
1469986724350,0.0,5.1404e-05
1469986724360,0.0,4.7783999999999995e-05
1469986724370,0.0,5.6834e-05
1469986724380,0.0,5.5386e-05
1469986724390,0.0,6.5884e-05
1469986724400,0.0,5.8643999999999996e-05
1469986724410,0.0,6.516e-05
1469986724420,0.0,5.7558e-05
1469986724430,0.0,6.2264e-05
1469986724440,0.0,5.611e-05
1469986724450,0.0,6.2988e-05
1469986724460,0.0,5.429999999999999e-05
1469986724470,0.0,5.8281999999999995e-05
1469986724480,0.0,4.706e-05
1469986724490,0.0,5.8643999999999996e-05
1469986724500,0.0,4.525e-05
1469986724510,0.0,5.1404e-05
1469986724520,0.0,4.1992e-05
1469986724530,0.0,5.0318e-05
1469986724540,0.0,4.0181999999999996e-05
1469986724550,0.0,4.6336000000000005e-05
1469986724560,0.0,4.0544000000000003e-05
1469986724570,0.0,4.5974e-05
1469986724580,0.0,4.1268e-05
1469986724590,0.0,5.0318e-05
1469986724600,0.0,4.2353999999999995e-05
1469986724610,0.0,5.3213999999999996e-05
