Timestamp,position,BLMTI.05R3.B1I10_TCLA.A5R3.B1
1469992079000,-0.515,2.353e-05
1469992079010,-0.515,2.2805999999999998e-05
1469992079020,-0.515,2.0996e-05
1469992079030,-0.515,1.9548e-05
1469992079040,-0.515,2.0996e-05
1469992079050,-0.515,2.9321999999999998e-05
1469992079060,-0.515,3.4028e-05
1469992079070,-0.515,2.3168000000000002e-05
1469992079080,-0.515,2.4254000000000002e-05
1469992079090,-0.515,2.9684000000000002e-05
1469992079100,-0.515,5.3213999999999996e-05
1469992079110,-0.515,3.801e-05
1469992079120,-0.515,3.6200000000000006e-05
1469992079130,-0.515,3.2218e-05
1469992079140,-0.515,5.6834e-05
1469992079150,-0.515,5.4662e-05
1469992079160,-0.515,4.1268e-05
1469992079170,-0.515,2.4978e-05
1469992079180,-0.515,3.4028e-05
1469992079190,-0.515,2.9684000000000002e-05
1469992079200,-0.515,2.4254000000000002e-05
1469992079210,-0.515,2.4254000000000002e-05
1469992079220,-0.515,2.5702e-05
1469992079230,-0.515,2.0996e-05
1469992079240,-0.515,2.0996e-05
1469992079250,-0.515,2.172e-05
1469992079260,-0.515,2.3168000000000002e-05
1469992079270,-0.515,2.0634e-05
1469992079280,-0.515,2.353e-05
1469992079290,-0.515,3.5838000000000005e-05
1469992079300,-0.515,3.982e-05
1469992079310,-0.515,3.7648e-05
1469992079320,-0.515,5.6834e-05
1469992079330,-0.515,5.9368000000000005e-05
1469992079340,-0.515,0.000100998
1469992079350,-0.515,4.6336000000000005e-05
1469992079360,-0.515,4.2716e-05
1469992079370,-0.515,4.0906e-05
1469992079380,-0.515,4.4888e-05
1469992079390,-0.515,2.6788000000000002e-05
1469992079400,-0.515,2.2444e-05
1469992079410,-0.515,2.3168000000000002e-05
1469992079420,-0.515,2.2082e-05
1469992079430,-0.515,2.1358e-05
1469992079440,-0.515,2.2082e-05
1469992079450,-0.515,2.4616e-05
1469992079460,-0.515,2.3891999999999998e-05
1469992079470,-0.515,2.3168000000000002e-05
1469992079480,-0.515,1.991e-05
1469992079490,-0.515,2.172e-05
1469992079500,-0.515,2.0996e-05
1469992079510,-0.515,2.4254000000000002e-05
1469992079520,-0.515,2.8236e-05
1469992079530,-0.515,2.4616e-05
1469992079540,-0.515,2.8598000000000003e-05
1469992079550,-0.515,2.715e-05
1469992079560,-0.515,3.2942e-05
1469992079570,-0.515,2.7511999999999997e-05
1469992079580,-0.515,2.8598000000000003e-05
1469992079590,-0.515,2.5702e-05
1469992079600,-0.515,1.991e-05
1469992079610,-0.515,2.2444e-05
1469992079620,-0.515,2.6788000000000002e-05
1469992079630,-0.515,2.5702e-05
1469992079640,-0.515,1.7375999999999998e-05
1469992079650,-0.515,2.0996e-05
1469992079660,-0.515,2.172e-05
1469992079670,-0.515,1.9548e-05
1469992079680,-0.515,2.0634e-05
1469992079690,-0.515,1.991e-05
1469992079700,-0.515,1.8462e-05
1469992079710,-0.515,2.0272000000000002e-05
1469992079720,-0.515,1.9186e-05
1469992079730,-0.515,2.0634e-05
1469992079740,-0.515,1.991e-05
1469992079750,-0.515,2.7874e-05
1469992079760,-0.515,2.9684000000000002e-05
1469992079770,-0.515,2.172e-05
1469992079780,-0.515,3.077e-05
1469992079790,-0.515,3.4751999999999995e-05
1469992079800,-0.515,3.5476e-05
1469992079810,-0.515,2.4978e-05
1469992079820,-0.515,2.3891999999999998e-05
1469992079830,-0.515,2.896e-05
1469992079840,-0.515,2.4254000000000002e-05
1469992079850,-0.515,2.0272000000000002e-05
1469992079860,-0.515,1.9548e-05
1469992079870,-0.515,1.8824e-05
1469992079880,-0.515,1.8824e-05
1469992079890,-0.515,1.8824e-05
1469992079900,-0.515,1.8824e-05
1469992079910,-0.515,1.7014e-05
1469992079920,-0.515,1.6652e-05
1469992079930,-0.515,1.9548e-05
1469992079940,-0.515,2.172e-05
1469992079950,-0.515,2.0996e-05
1469992079960,-0.515,3.0046e-05
1469992079970,-0.515,3.8372e-05
1469992079980,-0.515,7.6382e-05
1469992079990,-0.515,5.1766000000000005e-05
1469992080000,-0.515,4.8508000000000004e-05
1469992080010,-0.515,4.525e-05
1469992080020,-0.515,8.036399999999999e-05
1469992080030,-0.515,7.6744e-05
1469992080040,-0.515,3.7648e-05
1469992080050,-0.515,3.1132e-05
1469992080060,-0.515,2.4616e-05
1469992080070,-0.515,2.8236e-05
1469992080080,-0.515,2.2082e-05
1469992080090,-0.515,1.7738e-05
1469992080100,-0.515,2.3168000000000002e-05
1469992080110,-0.515,1.8824e-05
1469992080120,-0.515,1.9186e-05
1469992080130,-0.515,1.7014e-05
1469992080140,-0.515,1.8100000000000003e-05
1469992080150,-0.515,1.8100000000000003e-05
1469992080160,-0.515,1.9186e-05
1469992080170,-0.515,1.8462e-05
1469992080180,-0.515,1.991e-05
1469992080190,-0.515,2.2444e-05
1469992080200,-0.515,2.8598000000000003e-05
