collimator,angle,centre,sigma_x,sigma_y
TCDQA.A4L6.B2,0.0,-0.17,0.4967680863700995,0.2859647733587988
TCDQA.A4R6.B1,0.0,0.4395,0.4946479318497892,0.285547273638024
TCL.4L1.B2,0.0,0.0,0.24219843744701225,0.3975241142776351
TCL.4L5.B2,0.0,0.0,0.24219846143589763,0.39752408441088355
TCL.4R1.B1,0.0,0.0,0.24219838362846074,0.39752412533468706
TCL.4R5.B1,0.0,0.0,0.24219849303864296,0.39752411465891263
TCL.5L1.B2,0.0,0.0,0.17869351846179438,0.3231828267057862
TCL.5L5.B2,0.0,0.0,0.17870826577034332,0.32272506690998864
TCL.5R1.B1,0.0,0.0,0.17590531160330974,0.32885086173754785
TCL.5R5.B1,0.0,0.0,0.17590723088174032,0.3292703393844239
TCL.6L1.B2,0.0,0.0,0.12669184275814138,0.290064406639145
TCL.6L5.B2,0.0,0.0,0.12421680016331586,0.2925537931221805
TCL.6R1.B1,0.0,0.0,0.1249996312432747,0.31135512459113207
TCL.6R5.B1,0.0,0.0,0.12211952510539961,0.3158139635359573
TCLA.6L3.B2,0.0,-0.6125,0.25572485150080126,0.2919543910686429
TCLA.6R3.B1,0.0,-0.09499999999999999,0.25572636316717084,0.2919521190156668
TCLA.7L3.B2,0.0,-0.0375,0.18368586393806835,0.21701998028159403
TCLA.7R3.B1,0.0,-0.955,0.18451844931538253,0.21251776104472958
TCLA.A5L3.B2,1.5708,0.05500000000000001,0.2683487868715516,0.29820625167911124
TCLA.A5R3.B1,1.571,0.2225,0.2683500599585633,0.2982046741974508
TCLA.A6L7.B2,1.5708,0.5325,0.3874176640177198,0.15597713706616628
TCLA.A6R7.B1,1.571,0.34,0.3874176395010187,0.15597716255778069
TCLA.A7L7.B2,0.0,0.58,0.18253256964809347,0.26891355355081936
TCLA.A7R7.B1,0.0,0.037500000000000006,0.18070674440697385,0.27201577654229814
TCLA.B5L3.B2,0.0,-0.42,0.2767694571934207,0.2919343968455366
TCLA.B5R3.B1,0.0,-0.7175,0.27677079660018794,0.2919327897134286
TCLA.B6L7.B2,0.0,-0.0025000000000000022,0.28387775772384516,0.19645194620801187
TCLA.B6R7.B1,0.0,0.175,0.28387774286316425,0.19645189782069636
TCLA.C6L7.B2,1.5708,1.4175,0.18619137075719092,0.2770171282843324
TCLA.C6R7.B1,1.571,1.735,0.18619136822010218,0.2770170206801726
TCLA.D6L7.B2,0.0,0.07,0.18128598673114313,0.2824613426829327
TCLA.D6R7.B1,0.0,2.0775,0.18128598503114207,0.2824612321445444
TCLIA.4L8,1.5708,,,
TCLIA.4R2,1.571,,,
TCLIB.6L8.B2,1.5708,,,
TCLIB.6R2.B1,1.571,,,
TCP.6L3.B1,0.0,0.505,0.257777097786749,0.27037690759824645
TCP.6R3.B2,0.0,0.1275,0.2577768973844298,0.2703747758090853
TCP.B6L7.B1,2.215,0.4175,0.2682828753756262,0.21024068242458865
TCP.B6R7.B2,2.2253,-0.2975,0.26828288111930926,0.21024068912916014
TCP.C6L7.B1,0.0,-0.5125,0.27577289705746516,0.20448455086473086
TCP.C6R7.B2,0.0,0.175,0.27577290246194647,0.20448455350839856
TCP.D6L7.B1,1.571,0.0725,0.28331163524013414,0.19884790597002014
