collimator,angle,centre,sigma_x,sigma_y
TCDQA.A4L6.B2,0.0,0.0,1.966195764710884,1.1315438103942144
TCDQA.A4R6.B1,0.0,0.4295,2.0672639795303844,1.1944435469699226
TCL.4L1.B2,0.0,0.0,0.7578668117887194,1.0871949645272436
TCL.4L5.B2,0.0,0.0,0.7578667133298405,1.0871950071509013
TCL.4R1.B1,0.0,0.0,0.7578667319624018,1.0871950903844956
TCL.4R5.B1,0.0,0.0,0.7578668507870983,1.087194983657547
TCL.5L1.B2,0.0,0.0,1.023855161055922,0.9809438773775903
TCL.5L5.B2,0.0,0.0,1.0254456448051241,0.9796257879375343
TCL.5R1.B1,0.0,0.0,1.0306770103734266,0.9718678641948371
TCL.5R5.B1,0.0,0.0,1.0290537187215365,0.9732343479745549
TCL.6L1.B2,0.0,0.0,0.8623870090880784,1.0704663667092873
TCL.6L5.B2,0.0,0.0,0.8324559263095286,1.0935007534707444
TCL.6R1.B1,0.0,0.0,0.8905948957341977,1.02545076980271
TCL.6R5.B1,0.0,0.0,0.85206487066888,1.053207932449674
TCLA.6L3.B2,0.0,-0.585,0.9719038451247989,1.1095972953384579
TCLA.6R3.B1,0.0,0.02,0.9719097810599373,1.109588715782655
TCLA.7L3.B2,0.0,0.0425,0.6981137863697031,0.8248027757714929
TCLA.7R3.B1,0.0,-0.6725,0.7012779542564199,0.8076917700681988
TCLA.A5L3.B2,1.5708,0.0775,1.0198821869428447,1.133358154477379
TCLA.A5R3.B1,1.571,0.215,1.0198872164669759,1.1333520882955654
TCLA.A6L7.B2,1.5708,0.5525,1.5979353476674263,0.643734333382834
TCLA.A6R7.B1,1.571,0.375,1.5467998124727445,0.6224683440958765
TCLA.A7L7.B2,0.0,0.57,0.7091964698764407,1.0446069698208331
TCLA.A7R7.B1,0.0,-0.065,0.6788574451074847,1.019890422851016
TCLA.B5L3.B2,0.0,-0.39,1.0518856527940807,1.109521435822285
TCLA.B5R3.B1,0.0,-0.725,1.0518909427816892,1.1095152593761397
TCLA.B6L7.B2,0.0,0.04,1.0836448430260353,0.7503706953643555
TCLA.B6R7.B1,0.0,0.195,1.1007653383392855,0.7610774860304512
TCLA.C6L7.B2,1.5708,1.41,0.7235554127112498,1.0767156723999327
TCLA.C6R7.B1,1.571,1.7125,0.7227168552027452,1.073270656278312
TCLA.D6L7.B2,0.0,-0.015,0.7133268470183339,1.1116010059653052
TCLA.D6R7.B1,0.0,1.9625,0.702770990877382,1.0929037663936918
TCLIA.4L8,1.5708,1.1275,0.6171494517760934,0.98850880297021
TCLIA.4R2,1.571,5.7375,0.6181586601693783,0.938248998103184
TCLIB.6L8.B2,1.5708,-0.295,1.2720418603390706,0.348943786741263
TCLIB.6R2.B1,1.571,0.27,1.3711572289462746,0.56983965382521
TCP.6L3.B1,0.0,0.45,0.9797037392352927,1.0275904132894023
TCP.6R3.B2,0.0,0.0525,0.9797029079424456,1.0275822615319803
TCP.B6L7.B1,2.215,0.39,1.0174025417361667,0.799248025102239
TCP.B6R7.B2,2.2253,-0.34,1.0193538515012897,0.7992619850534618
TCP.C6L7.B1,0.0,-0.53,1.045798456911189,0.7773603368541999
TCP.C6R7.B2,0.0,0.1675,1.047824747433711,0.7773736391615818
TCP.D6L7.B1,1.571,0.07,1.0743807511696954,0.7559264280574576
TCP.D6R7.B2,1.5708,0.6125,1.0764822477878928,0.7559400720674027
TCSG.4L3.B2,0.0,-0.205,0.43734580309581905,1.6982381635530257
TCSG.4R3.B1,0.0,-0.3475,0.4373437071274545,1.698235169259585
TCSG.5L3.B1,0.0,-0.725,0.631262012182548,1.4762334424391652
TCSG.5R3.B2,0.0,0.0375,0.6312588072127955,1.4762190297653939
TCSG.6L7.B2,0.008726600000000001,0.2725,1.5335724849690209,0.5762448676067639
TCSG.6R7.B1,0.00873,-0.115,1.5506675628290276,0.5820918374886865
