collimator,angle,centre,sigma_x,sigma_y
TCDQA.A4L6.B2,0.0,,,
TCDQA.A4R6.B1,0.0,,,
TCL.4L1.B2,0.0,-0.07,0.6191239358156538,1.0399514921852622
TCL.4L5.B2,0.0,-2.115,0.6191239436495395,1.0399514897561895
TCL.4R1.B1,0.0,-0.532,0.6191238916276413,1.039951493642706
TCL.4R5.B1,0.0,2.37,0.6191238838753581,1.0399514933997986
TCL.5L1.B2,0.0,0.445,0.32644940186054994,0.8290874150550863
TCL.5L5.B2,0.0,-2.115,0.32581242670628313,0.8281445852642415
TCL.5R1.B1,0.0,-0.475,0.3352413552048298,0.8055126176651227
TCL.5R5.B1,0.0,1.71,0.3356146285977227,0.8070888510508281
TCL.6L1.B2,0.0,-0.03,0.08747649756425885,0.5164377672157442
TCL.6L5.B2,0.0,-2.82,0.07798770616992888,0.5008889054250785
TCL.6R1.B1,0.0,-0.465,0.09650616136625693,0.48525896203966284
TCL.6R5.B1,0.0,2.212,0.08112709593977896,0.4672403676992421
TCLA.6L3.B2,0.0,,,
TCLA.6R3.B1,0.0,,,
TCLA.7L3.B2,0.0,,,
TCLA.7R3.B1,0.0,,,
TCLA.A5L3.B2,1.5708,,,
TCLA.A5R3.B1,1.571,,,
TCLA.A6L7.B2,1.5708,,,
TCLA.A6R7.B1,1.571,,,
TCLA.A7L7.B2,0.0,,,
TCLA.A7R7.B1,0.0,,,
TCLA.B5L3.B2,0.0,,,
TCLA.B5R3.B1,0.0,,,
TCLA.B6L7.B2,0.0,,,
TCLA.B6R7.B1,0.0,,,
TCLA.C6L7.B2,1.5708,,,
TCLA.C6R7.B1,1.571,,,
TCLA.D6L7.B2,0.0,,,
TCLA.D6R7.B1,0.0,,,
TCLIA.4L8,1.5708,,,
TCLIA.4R2,1.571,,,
TCLIB.6L8.B2,1.5708,,,
TCLIB.6R2.B1,1.571,,,
TCP.6L3.B1,0.0,,,
TCP.6R3.B2,0.0,,,
TCP.B6L7.B1,2.215,,,
TCP.B6R7.B2,2.2253,,,
TCP.C6L7.B1,0.0,,,
TCP.C6R7.B2,0.0,,,
TCP.D6L7.B1,1.571,,,
TCP.D6R7.B2,1.5708,,,
TCSG.4L3.B2,0.0,,,
TCSG.4R3.B1,0.0,,,
TCSG.5L3.B1,0.0,,,
TCSG.5R3.B2,0.0,,,
TCSG.6L7.B2,0.008726600000000001,,,
TCSG.6R7.B1,0.00873,,,
TCSG.A4L7.B1,2.3492,,,
TCSG.A4L7.B2,0.73478,,,
TCSG.A4R7.B1,0.80809,,,
TCSG.A4R7.B2,2.3056,,,
TCSG.A5L3.B2,2.9810000000000003,,,
TCSG.A5L7.B1,0.71035,,,
TCSG.A5R3.B1,2.9810000000000003,,,
TCSG.A5R7.B2,0.7086,,,
TCSG.A6L7.B1,2.4627,,,
TCSG.A6R7.B2,2.4662,,,
TCSG.B4L7.B1,0.0,,,
TCSG.B4R7.B2,0.0,,,
TCSG.B5L3.B2,0.1885,,,
TCSG.B5L7.B1,2.5046,,,
TCSG.B5L7.B2,2.4696,,,
TCSG.B5R3.B1,0.19897,,,
TCSG.B5R7.B1,2.4696,,,
TCSG.B5R7.B2,2.5063,,,
TCSG.D4L7.B1,1.5708,,,
TCSG.D4R7.B2,1.5708,,,
TCSG.D5L7.B2,0.8971,,,
TCSG.D5R7.B1,0.8971,,,
TCSG.E5L7.B2,2.2777,,,
TCSG.E5R7.B1,2.2776,,,
TCSP.A4L6.B2,0.0,,,
TCSP.A4R6.B1,0.0,,,
TCTPH.4L1.B1,0.0,-0.47749999999999915,1.0425522931470155,0.641249238776214
TCTPH.4L2.B1,0.0,0.5049999999999999,0.15364794857903524,0.15678879422736164
TCTPH.4L5.B1,0.0,-1.9175000000000004,1.0425522892701946,0.6412492385792453
TCTPH.4L8.B1,0.0,2.7474999999999996,0.34905231891914146,0.3904140239329755
TCTPH.4R1.B2,0.0,0.007499999999999396,1.0425523636566913,0.6412492373974344
TCTPH.4R2.B2,0.0,0.054999999999999716,0.15364795402098858,0.15678879363123255
TCTPH.4R5.B2,0.0,2.8774999999999995,1.0425523806177812,0.6412492353095686
TCTPH.4R8.B2,0.0,-3.9199999999999995,0.349052351703089,0.39041402173305434
TCTPV.4L1.B1,1.571,2.0850000000000004,1.0450426780731539,0.6624833572083116
TCTPV.4L2.B1,1.571,3.1700000000000013,0.15620279798468203,0.1532620006042742
TCTPV.4L5.B1,1.571,0.05250000000000021,1.0450426739638479,0.6624833570176564
TCTPV.4L8.B1,1.571,-0.6950000000000003,0.35659955779936203,0.39118915284144856
TCTPV.4R1.B2,1.5708,1.13,1.0450427486565257,0.6624833557974632
TCTPV.4R2.B2,1.5708,3.162500000000002,0.15620280343465912,0.15326199992849787
TCTPV.4R5.B2,1.5708,0.38749999999999973,1.045042765577196,0.6624833536621251
TCTPV.4R8.B2,1.5708,0.6974999999999998,0.3565995910228797,0.39118915064588644
TDI.4L2,1.571,,,
TDI.4R8,1.5708,,,
