collimator,angle,centre,sigma_x,sigma_y
TCDQA.A4L6.B2,0.0,,,
TCDQA.A4R6.B1,0.0,,,
TCL.4L1.B2,0.0,,,
TCL.4L5.B2,0.0,,,
TCL.4R1.B1,0.0,,,
TCL.4R5.B1,0.0,,,
TCL.5L1.B2,0.0,,,
TCL.5L5.B2,0.0,,,
TCL.5R1.B1,0.0,,,
TCL.5R5.B1,0.0,,,
TCL.6L1.B2,0.0,,,
TCL.6L5.B2,0.0,,,
TCL.6R1.B1,0.0,,,
TCL.6R5.B1,0.0,,,
TCLA.6L3.B2,0.0,,,
TCLA.6R3.B1,0.0,,,
TCLA.7L3.B2,0.0,,,
TCLA.7R3.B1,0.0,,,
TCLA.A5L3.B2,1.5708,,,
TCLA.A5R3.B1,1.571,,,
TCLA.A6L7.B2,1.5708,,,
TCLA.A6R7.B1,1.571,,,
TCLA.A7L7.B2,0.0,,,
TCLA.A7R7.B1,0.0,,,
TCLA.B5L3.B2,0.0,,,
TCLA.B5R3.B1,0.0,,,
TCLA.B6L7.B2,0.0,,,
TCLA.B6R7.B1,0.0,,,
TCLA.C6L7.B2,1.5708,,,
TCLA.C6R7.B1,1.571,,,
TCLA.D6L7.B2,0.0,,,
TCLA.D6R7.B1,0.0,,,
TCLIA.4L8,1.5708,,,
TCLIA.4R2,1.571,,,
TCLIB.6L8.B2,1.5708,,,
TCLIB.6R2.B1,1.571,,,
TCLVW.A5L1.B2,1.5708,,,
TCP.6L3.B1,0.0,,,
TCP.6R3.B2,0.0,,,
TCP.B6L7.B1,2.215,,,
TCP.B6R7.B2,2.2253,,,
TCP.C6L7.B1,0.0,,,
TCP.C6R7.B2,0.0,,,
TCP.D6L7.B1,1.571,,,
TCP.D6R7.B2,1.5708,,,
TCSG.4L3.B2,0.0,,,
TCSG.4R3.B1,0.0,,,
TCSG.5L3.B1,0.0,,,
TCSG.5R3.B2,0.0,,,
TCSG.6L7.B2,0.008726600000000001,,,
TCSG.6R7.B1,0.00873,,,
TCSG.A4L7.B1,2.3492,,,
TCSG.A4L7.B2,0.73478,,,
TCSG.A4R7.B1,0.80809,,,
TCSG.A4R7.B2,2.3056,,,
TCSG.A5L3.B2,2.9810000000000003,,,
TCSG.A5L7.B1,0.71035,,,
TCSG.A5R3.B1,2.9810000000000003,,,
TCSG.A5R7.B2,0.7086,,,
TCSG.A6L7.B1,2.4627,,,
TCSG.A6R7.B2,2.4662,,,
TCSG.B4L7.B1,0.0,,,
TCSG.B4R7.B2,0.0,,,
TCSG.B5L3.B2,0.1885,,,
TCSG.B5L7.B1,2.5046,,,
TCSG.B5L7.B2,2.4696,,,
TCSG.B5R3.B1,0.19897,,,
TCSG.B5R7.B1,2.4696,,,
TCSG.B5R7.B2,2.5063,,,
TCSG.D4L7.B1,1.5708,,,
TCSG.D4R7.B2,1.5708,,,
TCSG.D5L7.B2,0.8971,,,
TCSG.D5R7.B1,0.8971,,,
TCSG.E5L7.B2,2.2777,,,
TCSG.E5R7.B1,2.2776,,,
TCSP.A4L6.B2,0.0,,,
TCSP.A4R6.B1,0.0,,,
TCSPM.D4R7.B2,1.5708,,,
TCTPH.4L1.B1,0.0,0.253,0.7533341741303364,0.6121880454096126
TCTPH.4L2.B1,0.0,0.225,0.7712403116948421,0.8000778703990165
TCTPH.4L5.B1,0.0,-1.855,0.7533341741303364,0.612188251728286
TCTPH.4L8.B1,0.0,1.498,0.4830361074554376,0.5343156346970602
TCTPH.4R1.B2,0.0,-0.307,0.7533351801043118,0.6121882104645568
TCTPH.4R2.B2,0.0,0.322,0.7712416218518703,0.8000775546650705
TCTPH.4R5.B2,0.0,1.623,0.7533345094551441,0.6121882104645568
TCTPH.4R8.B2,0.0,-2.813,0.4830366827182241,0.5343155401418203
TCTPV.4L1.B1,1.571,-0.977,0.758896796210928,0.6307267868028239
TCTPV.4L2.B1,1.571,1.707,0.7923294978448947,0.8066237251288133
TCTPV.4L5.B1,1.571,3.7880000000000003,0.758896796210928,0.6307269870572434
TCTPV.4L8.B1,1.571,-0.633,0.49422252553332896,0.5361308955365769
TCTPV.4R1.B2,1.5708,-2.94,0.7588977948112451,0.6307269870572434
TCTPV.4R2.B2,1.5708,2.392,0.7923307731299406,0.8066234119570898
TCTPV.4R5.B2,1.5708,3.568,0.7588971290778463,0.6307269470063646
TCTPV.4R8.B2,1.5708,0.62,0.4942231388883021,0.536130801301487
TDI.4L2,1.571,,,
TDI.4R8,1.5708,,,
