Unnamed: 0,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
0,1522888642_TCP.C6R7.B2_Align,0,2.18105,4.808684791704708,8.507,-6.005953781915371,0.02389594611209813,10.425990129302388,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522888642_TCP.C6R7.B2_Align,TCP,PROTON,I
1,1522849433_TCLA.B6L7.B2_Align,1,6.157275000000001,15.258367678945662,11.584,5.163182992685276,0.09393458857795622,2.9466261246194114,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522849433_TCLA.B6L7.B2_Align,TCLA,PROTON,I
2,1522849433_TCLA.B6L7.B2_Align,0,6.157275000000001,15.258367678945662,11.584,5.163182992685276,0.09393458857795622,2.9466261246194114,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522849433_TCLA.B6L7.B2_Align,TCLA,PROTON,I
3,1522816986_TCP.C6L7.B1_Align,1,3.2820166666666664,4.274386481420046,4.887,3.0400295971244797,0.9968071540896014,1.892523540841318,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522816986_TCP.C6L7.B1_Align,TCP,PROTON,I
4,1522831439_TCP.C6L7.B1_Align,1,24.304063829787232,2.5760811392830174,28.417,-7.5518761935863745,83.77399009339275,35.96887619358628,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522831439_TCP.C6L7.B1_Align,TCP,PROTON,I
5,1522849443_TCLA.D6R7.B1_Align,1,1.8069322033898312,9.70337494786446,4.706,-6.539135293876967,0.07374734332191778,6.957174059809897,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522849443_TCLA.D6R7.B1_Align,TCLA,PROTON,I
6,1522849443_TCLA.D6R7.B1_Align,0,1.8069322033898312,9.70337494786446,4.706,-6.539135293876967,0.07374734332191778,6.957174059809897,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522849443_TCLA.D6R7.B1_Align,TCLA,PROTON,I
7,1522709102_TCP.D6L7.B1_Align,1,3.3391333333333337,2.163908354776348,7.24,1.1715102040816292,264.36134239183644,6.068489795918367,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522709102_TCP.D6L7.B1_Align,TCP,PROTON,I
8,1522890551_TCSG.A4R7.B1_Align,1,3.0166666666666657,3.8769736253745735,7.058999999999998,-3.2164370408239535,21.730811709645597,10.275437049838088,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522890551_TCSG.A4R7.B1_Align,TCSG,PROTON,I
9,1522709916_TCSG.B5L7.B1_Align,0,1.8866949152542376,2.8872257653905007,5.611000000000001,0.3481949147521133,198.3454564118255,5.2628050854543,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/1-test_2018/1522709916_TCSG.B5L7.B1_Align,TCSG,PROTON,I
