,alignment,decay_a,decay_b,decay_c,full path,height,jaw,position,spike,collimator_type,beam_type,beam_state
0,1541544511_TCSG.A6L7.B1_Align_features,291.5967157894736,157.65227311524643,40.53828421052632,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541544511_TCSG.A6L7.B1_Align_features,308.07082926829264,1,5.571839996196269,1,TCSG,ION,COLLISION
1,1541553986_TCSG.D5L7.B2_Align_features,124.85411293828591,0.09291881289829527,6.356172071185544,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541553986_TCSG.D5L7.B2_Align_features,195.12773118279569,1,3.7793318338448167,1,TCSG,ION,COLLISION
2,1541543555_TCP.D6L7.B1_Align_features,5.194020894506613,0.1458980212900346,1.6820991706571011,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541543555_TCP.D6L7.B1_Align_features,4.962923076923077,0,4.174044368709288,1,TCP,ION,COLLISION
3,1541523396_TCSG.6R7.B1_Align_features,123.35008725004171,0.7925207787927061,8.622370726738474,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541523396_TCSG.6R7.B1_Align_features,138.09772815533978,1,4.528229487017378,1,TCSG,ION,COLLISION
4,1541553149_TCLA.A7L7.B2_Align_features,26.16486636903007,0.9875527149803456,3.5395908098096203,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541553149_TCLA.A7L7.B2_Align_features,29.93760824742268,0,7.478117466926588,1,TCLA,ION,COLLISION
5,1541553149_TCLA.A7L7.B2_Align_features,26.16486636903007,0.9875527149803456,3.5395908098096203,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541553149_TCLA.A7L7.B2_Align_features,29.93760824742268,1,1.0683024952752267,1,TCLA,ION,COLLISION
6,1541543687_TCLA.C6R7.B1_Align_features,15.980169642658426,0.2398415724877355,4.603170457497979,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541543687_TCLA.C6R7.B1_Align_features,15.918154639175254,1,1.5883500711076115,1,TCLA,ION,COLLISION
7,1541544393_TCSG.D5R7.B1_Align_features,17.467851050089116,86.49697734944216,1.7181489499933986,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541544393_TCSG.D5R7.B1_Align_features,16.995096385542173,0,6.099973078665459,1,TCSG,ION,COLLISION
8,1541543588_TCSG.D4L7.B1_Align_features,44.20604191862631,0.1308853713356122,7.902789391188928,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541543588_TCSG.D4L7.B1_Align_features,46.782101010101,1,4.503500635263084,1,TCSG,ION,COLLISION
9,1541552914_TCSG.6L7.B2_Align_features,17.883396226859695,0.3550232015228668,3.35106576440809,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541552914_TCSG.6L7.B2_Align_features,23.378168539325838,0,4.965269950608098,1,TCSG,ION,COLLISION
10,1541543084_TCP.C6L7.B1_Align_features,99.42627820687404,0.17089293156543267,32.765389971187126,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541543084_TCP.C6L7.B1_Align_features,151.80067777777774,0,5.638697699868598,1,TCP,ION,COLLISION
11,1541553180_TCLA.A7L7.B2_Align_features,67.76146270878411,0.2632794113428429,49.81738219674575,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541553180_TCLA.A7L7.B2_Align_features,115.4827012987013,1,0.9039482652328842,1,TCLA,ION,COLLISION
12,1541544196_TCP.B6L7.B1_Align_features,41.37047194384543,1.88437788815366,6.719954109373507,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541544196_TCP.B6L7.B1_Align_features,46.816207920792074,0,4.487884323160166,1,TCP,ION,COLLISION
13,1541542430_TCP.C6L7.B1_Align_features,89.24271340717888,0.4106449331338923,11.210624676067429,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541542430_TCP.C6L7.B1_Align_features,121.43493902439026,0,6.291408687634739,1,TCP,ION,COLLISION
14,1541542430_TCP.C6L7.B1_Align_features,89.24271340717888,0.4106449331338923,11.210624676067429,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541542430_TCP.C6L7.B1_Align_features,121.43493902439026,1,2.5383205079794333,1,TCP,ION,COLLISION
15,1541553780_TCSG.A5R7.B2_Align_features,56.30477174227124,76.65689385414781,41.0732282624194,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541553780_TCSG.A5R7.B2_Align_features,57.937035294117614,1,5.4751758846511365,1,TCSG,ION,COLLISION
16,1541552921_TCSG.6L7.B2_Align_features,7.731998719117514,1.7554088208833971,2.3783567949690174,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541552921_TCSG.6L7.B2_Align_features,7.564710526315789,1,5.887911799620851,1,TCSG,ION,COLLISION
17,1541553218_TCP.D6R7.B2_Align_features,3.8889964294702883,0.1889975701835761,1.0234598673186361,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541553218_TCP.D6R7.B2_Align_features,5.128626262626262,0,7.417729646132061,0,TCP,ION,COLLISION
18,1541553218_TCP.D6R7.B2_Align_features,3.8889964294702883,0.1889975701835761,1.0234598673186361,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541553218_TCP.D6R7.B2_Align_features,5.128626262626262,1,1.5589804680006365,0,TCP,ION,COLLISION
19,1541523415_TCP.C6L7.B1_Align_features,96.55585574473731,0.21372611265845148,14.928479456684336,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541523415_TCP.C6L7.B1_Align_features,121.01210891089107,0,5.7837445860388526,1,TCP,ION,COLLISION
20,1541543600_TCSG.D4L7.B1_Align_features,30.58313289146088,0.08856618146250975,6.642987316010525,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_IONS_Collisions/1541543600_TCSG.D4L7.B1_Align_features,33.68816326530612,1,4.449887532462332,1,TCSG,ION,COLLISION
