,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,collimator_type,beam_type,beam_state
0,0,10.474125,2.6922860657869174,14.842,12.111462881306883,0.2526039752069056,4.569766772576752,TCSP,PROTON,I
1,1,7.736119565217393,3.2340996462569467,11.584000000000001,7.409590827640687,0.4314051744429043,4.262281040911516,TCSP,PROTON,I
2,1,13.245717171717173,2.029230763873847,14.48,12.1869172365163,0.48413993036466724,1.7837780640665357,TCTPH,PROTON,I
3,0,13.245717171717173,5.155813786323251,14.48,12.1869172365163,0.48413993036466724,1.7837780640665357,TCTPH,PROTON,I
4,0,19.027310344827587,3.3181842104495205,22.625,13.710658176851803,0.21815064716040886,5.224166195966095,TCTPH,PROTON,I
5,0,51.9114659090909,1.7277638843480578,54.11899999999999,41.408384592392366,0.2545617276126158,8.068699357716598,TCSG,PROTON,I
6,0,367.1178673469388,4.154262118320893,454.31,384.71206325990704,219.82061231814103,69.59793677826636,TCTPH,PROTON,I
7,0,8.643929411764706,3.791903873107139,9.593,6.830964914238991,0.33741888461344494,1.9756779053959583,TCTPV,PROTON,I
8,1,182.3100099009901,3.3060218477106584,262.269,160.90567895407483,0.10233600058551151,77.83116535254656,TCSP,PROTON,I
9,0,79.40809375,1.07810226260616,84.165,62.63333909818251,0.26265109102183276,13.599110636431865,TCSG,PROTON,I
10,1,1416.349504950495,1.047299356393067,1568.73,1474.2472907740948,0.19028453556133992,130.81622242178318,TCSG,PROTON,I
11,1,9.72232558139535,1.8770396978032888,12.489,10.104804105318628,0.3921273896000842,2.9115332247006287,TCTPV,PROTON,I
12,1,11.099879518072289,2.0665960234962064,15.385,9.686222685626628,0.11158897625005991,5.470362465961117,TCSG,PROTON,I
13,1,8398.521307692306,0.8622053453118834,8455.23,8208.583126283496,0.6040438299403055,232.76969813153784,TCTPH,PROTON,I
14,1,25.029395061728398,1.562548213073284,31.856,19.78643301621622,0.11886137734203499,7.770990925538657,TCSG,PROTON,I
15,0,6.716164705882354,4.17014864855775,11.584000000000001,8.302173948672168,0.4191806653239226,4.889032616780687,TCTPV,PROTON,I
16,0,113.40578205128205,8.404324835772039,155.117,119.45299291016026,0.6374211737350631,29.71085502449694,TCTPH,PROTON,I
17,0,46.6696,2.284641439122295,50.68,37.071756193520415,0.13090534162893175,9.575913296779053,TCP,PROTON,I
18,1,22.30772222222222,2.0273923051345117,25.520999999999997,20.304612539749666,0.17712567822043052,3.305139048030914,TCSG,PROTON,I
19,1,320.1614565217392,1.0886431136667891,511.50600000000003,366.5654586923955,88.95178186616698,144.94054130760455,TCTPH,PROTON,I
20,0,12.626882978723405,3.5894874640060954,14.842,11.989118869014577,0.23264497491486555,2.618086282978542,TCP,PROTON,I
21,1,7.570544554455446,2.4054281628155776,9.955,7.577934215884076,74.09846335276133,2.37706578411493,TCSG,PROTON,I
22,1,6.1721,2.670709418777049,9.955,6.1058410074892455,0.08573865498578875,3.8288629057430947,TCSP,PROTON,I
23,1,31.916333333333338,3.766323607750443,43.983000000000004,19.607400750827022,0.042106416202167624,14.895052872943603,TCSP,PROTON,I
24,1,138.16256962025318,2.0466490536766573,143.17100000000002,116.42449718506596,0.12045712056695107,11.176412298046094,TCTPH,PROTON,I
25,1,11.62313,1.7366989799685253,13.032,10.422110565299791,0.11925148733133487,1.7482409874871052,TCP,PROTON,I
26,1,93.96976999999998,2.8304720953875218,99.18799999999999,75.090899443704,0.26098079297686294,11.77639136226525,TCTPH,PROTON,I
27,0,1213.37875,0.4456685211546883,1248.9,1187.7286763354498,0.4397851290967862,113.28841465257469,TCSG,PROTON,I
