jaw,height,position,Maximum value,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
0,1.0934395989974939,13.459629539903968,1.4480000000000004,1.101108512326202,33.50289225569233,0.3468914865002,0,TCTPV,PROTON,I
1,0.8049069999999999,17.7155080895301,1.0859999999999999,0.8212988168691651,18.891462762412807,0.2647011687230588,0,TCLIB,PROTON,I
1,6.1234377049180315,7.083521937714047,7.24,7.189064753224749,0.3861560955258568,0.9315495135688504,0,TCSG,PROTON,I
1,11.685360000000001,6.898338699722212,11.946,11.690968279892273,100.599838543439,0.2550317201138002,0,TCTPH,PROTON,I
0,4.350154000000002,12.288937455386614,4.706,4.3276827996483735,34.544517332807324,0.3783172003539115,0,TCSG,PROTON,I
1,1.3511592356687898,9.488983094261883,1.81,1.3402975206611087,26.21572770540979,0.4697024793388282,0,TCSG,PROTON,I
1,13.761067999999998,11.710727700798651,14.118,13.741429320943825,2.2694500277578427,0.3768806241109853,0,TCSG,PROTON,I
0,1.1621277915632755,26.651857269276487,1.4480000000000004,1.1254371780797212,1.0725500441859472,0.28071543222541145,0,TCLIB,PROTON,I
1,1.4937865612648222,8.760457921944816,1.81,1.506621035055188,35.69203976356819,0.3033789649447852,0,TCLA,PROTON,I
0,1.4674252758274824,17.975118159742717,1.81,1.4733822950732407,22.466954926804934,0.3366176964125493,0,TCTPV,PROTON,I
1,1.382478,10.6500961310295,1.81,1.3585575914120454,24.077509934379343,0.4514424048735695,0,TCSG,PROTON,I
0,0.780472,13.381401856661718,1.0859999999999999,0.7711385645858391,36.06587177803964,0.3148614354142152,0,TCTPV,PROTON,I
0,1.4852841490138786,17.913734864853296,1.81,1.4830517548147115,35.840986228872524,0.32694824518515164,0,TCTPH,PROTON,I
0,1.2929045871559628,11.623583847732322,1.81,1.3519098378725858,19.068376969005705,0.458090150741746,0,TCLA,PROTON,I
1,1.5073650952858575,18.369935422461893,1.81,1.518707702416635,17.572705325494645,0.2912921553932477,0,TCTPV,PROTON,I
1,0.7966900350525788,21.321485815421187,1.0859999999999999,0.8171455253202343,2.617131101977217,0.2699370547207404,0,TCLIB,PROTON,I
1,1.1758394160583945,8.8324153198569,1.4480000000000004,1.1523666633294811,20.75339909436169,0.2956333338034072,0,TCLA,PROTON,I
0,1.810543271635818,12.993878115089743,2.1719999999999997,1.7936828046744515,45.80195351736062,0.37831719532554253,0,TCSG,PROTON,I
0,1.1115977933801409,17.46237036774638,1.4480000000000004,1.0993155589969137,1.571276355033039,0.3614972721455284,0,TCTPV,PROTON,I
1,1.0876811145510838,7.9631035481457735,1.4480000000000004,1.0878130204410523,23.47503649336481,0.3601869783254564,0,TCLA,PROTON,I
0,0.7272628943415123,19.000982611874623,1.0859999999999999,0.7270216303988829,18.809763214903054,0.35897829786342106,0,TCSG,PROTON,I
0,1.507549,14.648174565759025,1.81,1.5072253728092904,24.74064025175497,0.30277462569347874,0,TCTPV,PROTON,I
0,0.8078029999999999,18.525906886108814,1.0859999999999999,0.8122336968697774,19.786163448839982,0.2737662780177565,0,TCTPV,PROTON,I
0,1.1200240437158473,7.915876936368421,1.4480000000000004,1.0793522524469157,24.89599653093345,0.36864774627986097,0,TCSG,PROTON,I
1,2.1314080882352937,7.154790543864817,2.5340000000000003,2.101152815013408,40.649066269751756,0.4328471849865953,0,TCSG,PROTON,I
0,1.1138740000000005,8.027030082301536,1.4480000000000004,1.1071519153538434,23.13871850043389,0.3408480800574549,0,TCLA,PROTON,I
0,1.501576,7.587261510616832,1.81,1.4842604350672992,25.90003780845021,0.3257395649327164,0,TCSG,PROTON,I
0,1.0776553238199784,7.02341321254741,1.4480000000000004,1.0829779642858002,13.018312802158992,0.3650218921199466,0,TCLA,PROTON,I
1,1.501938,15.374057282275233,1.81,1.516894824392929,24.332937047373072,0.29310517416672605,0,TCTPV,PROTON,I
1,2.1495560000000005,8.429883701094239,2.8960000000000012,2.2084300802253485,0.5011649545045376,0.7170755782407447,0,TCLA,PROTON,I
1,1.7822236710130392,16.60273574961706,2.1719999999999997,1.6660946668799053,1.2027717300220797,0.5010210649560963,0,TCLIA,PROTON,I
1,6.62307042253521,6.4001637886088725,6.8779999999999974,6.430183637069634,46.964810339208825,0.44781636293041793,0,TCTPH,PROTON,I
0,4.442974461692539,8.909489266809398,4.706,4.446584455894351,3.5397028524640235,0.2590408486721706,0,TCTPH,PROTON,I
0,1.1283540000000003,20.79172178724928,1.4480000000000004,1.1391819663260243,21.933170479911993,0.3088180296344601,0,TCTPH,PROTON,I
0,1.1441726354453632,7.459755835190271,1.4480000000000004,1.1557431131036089,22.758070471749647,0.2922568802993656,0,TCLA,PROTON,I
1,1.1299830000000004,12.027012288461812,1.4480000000000004,1.1240734405923745,19.797558002511327,0.3239265433047421,0,TCTPV,PROTON,I
1,0.8251790000000001,11.641504772908432,1.0859999999999999,0.8084415730119464,2.1602717831970404,0.2772170051684317,0,TCTPV,PROTON,I
1,1.0850950000000004,7.618991594264682,1.4480000000000004,1.0769348879159537,24.04640421220953,0.371065109516151,0,TCLA,PROTON,I
1,1.4002204968944099,6.943366243038724,1.81,1.385865646241363,36.19409477248255,0.4241343331901212,0,TCSG,PROTON,I
0,0.7973726635514019,26.02138322634736,1.0859999999999999,0.8122337075826126,20.374926745477268,0.27376627734989634,0,TCLIB,PROTON,I
1,1.1162270000000003,7.184401477893957,1.4480000000000004,1.107785360303666,3.887189907156801,0.34020504452666744,0,TCLA,PROTON,I
1,1.1864550000000005,11.113422555818081,1.4480000000000004,1.1627512492328231,21.990604758245787,0.2852487480254872,0,TCTPV,PROTON,I
1,0.830247,12.291452117019633,1.0859999999999999,0.8194857187260269,18.679698798883198,0.2665141928307956,0,TCTPV,PROTON,I
0,1.5516259541984734,7.600433147698588,2.1719999999999997,0.8220323901864146,0.0706793137820911,0.5962687324462684,0,TCSG,PROTON,I
1,1.153068217054264,10.982145279426017,1.4480000000000004,1.1681902590813324,19.720791393017503,0.27980968467000705,0,TCTPH,PROTON,I
1,1.1609340000000004,13.554759265311331,1.4480000000000004,1.1627512503589161,22.86871798417661,0.2852487478132897,0,TCTPV,PROTON,I
0,1.0999370000000002,14.766309396926903,1.4480000000000004,1.0793522537562543,43.473511674842904,0.3686477462437414,0,TCTPV,PROTON,I
0,1.0683844282238446,8.007220465310018,1.4480000000000004,1.0835826376628086,25.60486766852657,0.3644173610846767,0,TCLA,PROTON,I
1,0.7682046204620463,8.551309713281999,1.0859999999999999,0.7820166944907435,44.946072059423706,0.3039833055091927,0,TCLA,PROTON,I
0,0.8684379999999999,10.415220899202216,1.0859999999999999,0.830398051539974,1.243706285923032,0.23637199478471504,0,TCTPH,PROTON,I
1,1.444561,6.586655732621408,1.81,1.4407479137944612,43.242475748951314,0.3692520862055555,0,TCLA,PROTON,I
0,3.0894890000000004,12.096999410788374,3.9819999999999998,3.1419922741965007,24.734156340882546,0.8400077218173144,0,TCLA,PROTON,I
1,0.7910509885535901,18.729641553936514,1.0859999999999999,0.7826175341575671,3.1834415822160094,0.3039259325662441,0,TCTPH,PROTON,I
1,1.2101861111111107,7.9965918404465075,2.5340000000000003,1.6945709387047532,26.44335528540453,0.8394290501857926,0,TCSG,PROTON,I
0,1.1214901960784318,9.597050756596088,1.4480000000000004,1.1415993233002146,20.32606107023048,0.3064006677011057,0,TCLA,PROTON,I
0,2.705245508982036,9.166906704136103,3.9819999999999998,2.6902363955188258,0.4412909511725799,1.1886622718319004,0,TCP,PROTON,I
1,1.1430150000000003,13.452769333230586,1.4480000000000004,1.1397863012723104,21.016286826715817,0.3082136896613581,0,TCTPV,PROTON,I
1,1.1464540000000003,18.136723351668923,1.4480000000000004,1.1579165246712482,23.870207061176433,0.290083472529092,0,TCTPV,PROTON,I
0,1.4851459528362014,17.65367580560065,1.81,1.4830517110434036,19.251721955435862,0.3269482478933136,0,TCTPH,PROTON,I
0,1.1279920000000003,20.20225458627661,1.4480000000000004,1.1422036626351335,21.10525127223878,0.3057963283886839,0,TCTPH,PROTON,I
0,1.1024957436154237,12.422998955626912,1.4480000000000004,1.10076241134754,42.42287232042077,0.34723758865248683,0,TCSG,PROTON,I
1,1.1336855524079323,8.337408136240482,1.4480000000000004,1.1532238968586799,0.9485102151244544,0.30154624326918594,0,TCLA,PROTON,I
1,2.4993770655983973,10.591349138975696,3.258,2.4144035466172027,30.71292566589322,0.8435964533893139,0,TCSG,PROTON,I
0,1.1477210000000002,15.451058677158727,1.4480000000000004,1.1366344882870196,2.072553255237224,0.3061361780570167,0,TCTPV,PROTON,I
0,1.530355,17.651726161900413,1.81,1.4983952968327658,3.7484317416475066,0.3117791108535123,0,TCTPV,PROTON,I
0,1.468877632898696,17.148105592006686,1.81,1.4208046694750875,21.81994806200817,0.3891953244021829,0,TCTPV,PROTON,I
0,0.8746252873563218,8.275623483709998,1.0859999999999999,0.8750851315940812,18.875138931607527,0.2109148571824382,0,TCTPH,PROTON,I
1,2.232454,9.637999271585775,2.5340000000000003,2.200404005409549,46.719300098925046,0.333595994590444,0,TCSG,PROTON,I
1,1.1726990000000004,16.688903608858972,1.4480000000000004,1.1512687214775312,18.765526676773764,0.2967312199521695,0,TCLIB,PROTON,I
0,1.29053,11.39013623140632,2.1719999999999997,1.3342739605197782,16.24440839890872,0.8377256675741567,0,TCLA,PROTON,I
1,1.094207637231504,8.916028958893412,1.4480000000000004,1.0805608910362647,20.500312453838717,0.3674390658613701,0,TCLA,PROTON,I
0,1.0885340000000003,20.544383726557573,1.4480000000000004,1.0890216940462258,22.54194243345945,0.3589782973543785,0,TCSG,PROTON,I
0,0.8034759206798867,27.91280535513473,1.0859999999999999,0.7832253697882596,22.931076438757056,0.30277462444537423,0,TCLIB,PROTON,I
1,0.7992278417626439,20.060537729562945,1.0859999999999999,0.8223695638704434,29.74207738678599,0.26363043493528304,0,TCLIB,PROTON,I
1,1.1292000000000004,13.327804610704078,1.4480000000000004,1.1204474130589124,44.882513970005185,0.32755258694110345,0,TCSG,PROTON,I
0,1.5149899699097291,15.953798216803325,1.81,1.5259599332089278,26.51125121108944,0.2840400667911075,0,TCTPV,PROTON,I
1,1.4650395593390084,11.100903978611202,1.81,1.459508670520224,37.28579756285228,0.3504913294797706,0,TCSG,PROTON,I
