,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
0,0,1.093439598997494,13.459629539903968,1.4480000000000004,1.1011085123262019,33.50289225569233,0.34689148650019996,0,TCTPV,PROTON,I
1,1,0.804907,17.7155080895301,1.086,0.8212988168691651,18.89146276241281,0.2647011687230588,0,TCLIB,PROTON,I
2,1,6.123437704918032,7.083521937714047,7.24,7.18906475322475,0.38615609552585684,0.9315495135688503,0,TCSG,PROTON,I
3,1,11.68536,6.898338699722211,11.946,11.690968279892273,100.599838543439,0.2550317201138002,0,TCTPH,PROTON,I
4,0,4.350154000000001,12.288937455386614,4.706,4.3276827996483735,34.54451733280732,0.37831720035391153,0,TCSG,PROTON,I
5,1,1.3511592356687898,9.488983094261885,1.81,1.3402975206611087,26.215727705409787,0.46970247933882825,0,TCSG,PROTON,I
6,1,13.761067999999998,11.710727700798651,14.117999999999999,13.741429320943826,2.2694500277578427,0.37688062411098533,0,TCSG,PROTON,I
7,0,1.1621277915632757,26.651857269276483,1.4480000000000004,1.1254371780797212,1.0725500441859472,0.28071543222541145,0,TCLIB,PROTON,I
8,1,1.4937865612648222,8.760457921944816,1.81,1.5066210350551879,35.69203976356819,0.3033789649447852,0,TCLA,PROTON,I
9,0,1.4674252758274824,17.97511815974272,1.81,1.4733822950732407,22.466954926804934,0.3366176964125493,0,TCTPV,PROTON,I
10,1,1.3824779999999999,10.650096131029501,1.81,1.3585575914120454,24.077509934379343,0.45144240487356946,0,TCSG,PROTON,I
11,0,0.780472,13.381401856661718,1.086,0.771138564585839,36.065871778039636,0.3148614354142152,0,TCTPV,PROTON,I
12,0,1.4852841490138786,17.913734864853296,1.81,1.4830517548147115,35.84098622887252,0.32694824518515164,0,TCTPH,PROTON,I
13,0,1.292904587155963,11.623583847732322,1.81,1.3519098378725858,19.068376969005705,0.45809015074174597,0,TCLA,PROTON,I
14,1,1.5073650952858575,18.36993542246189,1.81,1.5187077024166353,17.572705325494645,0.2912921553932477,0,TCTPV,PROTON,I
15,1,0.7966900350525788,21.321485815421187,1.086,0.8171455253202343,2.617131101977217,0.2699370547207404,0,TCLIB,PROTON,I
16,1,1.1758394160583945,8.832415319856898,1.4480000000000004,1.1523666633294811,20.75339909436169,0.2956333338034072,0,TCLA,PROTON,I
17,0,1.810543271635818,12.993878115089746,2.172,1.7936828046744517,45.80195351736062,0.37831719532554264,0,TCSG,PROTON,I
18,0,1.1115977933801409,17.46237036774638,1.4480000000000004,1.0993155589969135,1.571276355033039,0.36149727214552835,0,TCTPV,PROTON,I
19,1,1.0876811145510838,7.963103548145774,1.4480000000000004,1.0878130204410523,23.47503649336481,0.3601869783254564,0,TCLA,PROTON,I
20,0,0.7272628943415123,19.00098261187462,1.086,0.727021630398883,18.809763214903057,0.35897829786342106,0,TCSG,PROTON,I
21,0,1.507549,14.648174565759026,1.81,1.5072253728092904,24.740640251754968,0.30277462569347874,0,TCTPV,PROTON,I
22,0,0.807803,18.525906886108814,1.086,0.8122336968697774,19.786163448839982,0.27376627801775655,0,TCTPV,PROTON,I
23,0,1.1200240437158473,7.915876936368421,1.4480000000000004,1.0793522524469157,24.895996530933452,0.36864774627986097,0,TCSG,PROTON,I
24,1,2.1314080882352937,7.154790543864818,2.534,2.1011528150134073,40.649066269751756,0.43284718498659525,0,TCSG,PROTON,I
25,0,1.1138740000000003,8.027030082301538,1.4480000000000004,1.1071519153538434,23.138718500433892,0.3408480800574549,0,TCLA,PROTON,I
26,0,1.501576,7.587261510616833,1.81,1.4842604350672992,25.900037808450207,0.3257395649327164,0,TCSG,PROTON,I
27,0,1.0776553238199784,7.023413212547409,1.4480000000000004,1.0829779642858002,13.018312802158993,0.3650218921199466,0,TCLA,PROTON,I
28,1,1.501938,15.374057282275233,1.81,1.516894824392929,24.33293704737307,0.293105174166726,0,TCTPV,PROTON,I
