,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
0,1,1.058446670005008,54.28288660662257,1.4480000000000004,1.0764457434967478,22.51921283137733,0.3715542526457015,0,TCL,PROTON,FT
1,1,1.4083014521782673,56.77318398187484,1.81,1.4438785578747781,40.90252886791933,0.3661214421252352,0,TCL,PROTON,FT
2,0,1.047751627441162,50.56143097843658,1.4480000000000004,1.0764457434967478,22.51921283137733,0.3715542526457015,0,TCL,PROTON,FT
3,0,2.427753000000001,37.71874508365496,2.896000000000001,2.409458719068814,28.05498473790591,0.4865412809605363,0,TCL,PROTON,FT
4,0,1.0605468750000002,67.2045019754932,1.4480000000000004,1.0764105933165018,22.110759421964012,0.3715894041114712,0,TCL,PROTON,FT
5,0,1.0867350253807109,99.38269206555982,1.4480000000000004,1.049727453830617,24.82301455303922,0.3982725447544957,0,TCL,PROTON,FT
6,1,3.155554,69.2978903646954,3.62,3.131426573423341,37.22909201544733,0.4885734265765478,0,TCL,PROTON,FT
7,0,1.0885165775401073,101.15378904850216,1.4480000000000004,1.0510304114490174,43.686287384393246,0.3969695885509839,0,TCL,PROTON,FT
8,0,1.2040120000000003,56.19494502682576,1.4480000000000004,1.1825333333334487,25.179128291622526,0.2654666666665523,0,TCL,PROTON,FT
9,0,1.0836470000000002,97.65184728677526,1.4480000000000004,1.058679244314086,25.021265160773975,0.3893207543159708,0,TCL,PROTON,FT
10,0,1.0673402061855672,65.9734453198222,1.4480000000000004,1.0764105933165018,22.110759421964012,0.3715894041114712,0,TCL,PROTON,FT
11,0,1.2036500000000003,59.79797246752571,1.4480000000000004,1.1838378148700486,20.963582939690514,0.2641621651724483,0,TCL,PROTON,FT
12,0,1.2043740000000003,61.59948618787568,1.4480000000000004,1.1879507749919522,2.846363651655914,0.26097970816247834,0,TCL,PROTON,FT
13,0,0.9399330000000001,74.86669854591314,1.086,0.9436656186160858,18.72750745680773,0.1423343653700437,0,TCL,PROTON,FT
14,1,2.067744,68.07565521880454,2.534,2.042168747522608,39.58686703498779,0.491831225540541,0,TCL,PROTON,FT
15,0,0.840202,57.99645874717574,1.086,0.82578247755296,21.39839413746752,0.26021750717572123,0,TCL,PROTON,FT
16,1,2.427753000000001,66.82499599975344,2.896000000000001,2.409458719068814,28.05498473790591,0.4865412809605363,0,TCL,PROTON,FT
17,0,0.9388131868131869,76.6426613474767,1.086,0.9437109748973995,19.507651205169754,0.14228901751985898,0,TCL,PROTON,FT
18,0,3.155554,40.191639448596916,3.62,3.131426573423341,37.22909201544733,0.4885734265765478,0,TCL,PROTON,FT
19,1,1.0617816901408454,34.805329083061416,1.4480000000000004,1.0758676690739568,20.04347968432881,0.37213231675207104,0,TCL,PROTON,FT
20,1,1.0605468750000002,33.57427242739044,1.4480000000000004,1.0764105933165018,22.110759421964012,0.3715894041114712,0,TCL,PROTON,FT
21,1,1.047751627441162,55.542025728941134,1.4480000000000004,1.0764457434967478,22.51921283137733,0.3715542526457015,0,TCL,PROTON,FT
22,0,1.058446670005008,49.302291856118025,1.4480000000000004,1.0764457434967478,22.51921283137733,0.3715542526457015,0,TCL,PROTON,FT
23,0,2.067744,38.96940430270605,2.534,2.042168747522608,39.58686703498779,0.491831225540541,0,TCL,PROTON,FT
24,1,1.4218968452679017,53.05172835368886,1.81,1.4461990038887849,31.51322201544558,0.36380099517427444,0,TCL,PROTON,FT
25,0,1.4083014521782673,51.792589231370286,1.81,1.4438785578747781,40.90252886791933,0.3661214421252352,0,TCL,PROTON,FT
