,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
0,1540624300_TCSP.A4L6.B2_Align,1,2.1507058823529404,3.2340996462569467,5.611,1.234387500044219,183.55958250338415,4.376612500009147,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540624300_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1,1540618777_TCTPH.4R2.B2_Align,1,1.5421200000000004,2.029230763873847,2.8960000000000004,1.1833560872165774,1.1951146338293845,1.7924946896671134,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540618777_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
2,1540618777_TCTPH.4R2.B2_Align,0,1.5421200000000004,5.155813786323251,2.8960000000000004,1.1833560872165774,1.1951146338293845,1.7924946896671134,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540618777_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
3,1540620175_TCTPH.4R2.B2_Align,0,0.9412472527472531,3.3181842104495205,5.792000000000001,0.9450054618483182,35.40518270999273,4.846994538151676,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540620175_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
4,1540624919_TCSG.D4L7.B1_Align,0,2.8393461538461544,1.7277638843480578,4.706,-3.525880023131549,26.050726237274066,8.231880023131563,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540624919_TCSG.D4L7.B1_Align,TCSG,PROTON,I
5,1540619064_TCTPH.4R2.B2_Align,0,259.5697391304348,4.154262118320893,350.235,24273.3594737726,1.070379034399957e-05,-24177.98020342351,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540619064_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
6,1540620761_TCTPV.4R5.B2_Align,0,1.714777777777778,3.791903873107139,2.5340000000000003,0.4275304262232833,1.098811663263963,2.1545612963857432,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540620761_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
7,1540637707_TCSP.A4L6.B2_Align,1,59.7639375,3.3060218477106584,147.696,4093.1475522141686,-3.232931316058243e-06,-4004.0247318640786,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540637707_TCSP.A4L6.B2_Align,TCSP,PROTON,I
8,1540633571_TCSG.D4L7.B1_Align,0,3.258000000000001,1.07810226260616,7.421,-5.47525000991914,32.185553320067186,12.89625000991917,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540633571_TCSG.D4L7.B1_Align,TCSG,PROTON,I
9,1540634193_TCSG.D4L7.B1_Align,1,79.68848214285714,1.047299356393067,250.50400000000002,401404.8113579107,1.7809692455995427e-06,-401158.44345098326,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540634193_TCSG.D4L7.B1_Align,TCSG,PROTON,I
10,1540621880_TCTPV.4R5.B2_Align,1,4.8482419354838715,1.8770396978032888,7.602,5.035962433197022,0.6892064276694754,3.1025954798411832,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540621880_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
11,1540624681_TCSG.D4L7.B1_Align,1,5.178816326530613,2.0665960234962064,9.231,3.2763828124854064,240.44283555626006,5.954617187506394,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540624681_TCSG.D4L7.B1_Align,TCSG,PROTON,I
12,1540619069_TCTPH.4R2.B2_Align,1,418.43752380952384,0.8622053453118834,463.17900000000003,160.14080208160001,56.40446406296295,303.0381979183999,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540619069_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
13,1540633216_TCSG.D4L7.B1_Align,1,11.96048,1.562548213073284,18.643,9.870720443617866,2.4764228967614996,8.810423510763705,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540633216_TCSG.D4L7.B1_Align,TCSG,PROTON,I
14,1540622110_TCTPV.4R5.B2_Align,0,6.460694444444445,4.17014864855775,11.041,6.146098807974445,0.4782916789351371,4.980914130782956,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540622110_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
15,1540615845_TCTPH.4R2.B2_Align,0,169.98313333333334,8.404324835772039,207.607,196.861447287724,0.47733206767225134,31.286487790484315,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540615845_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
16,1540633358_TCP.D6L7.B1_Align,0,4.0817619047619065,2.284641439122295,8.145000000000001,-3.824815789473682,29.428926198028613,11.96981578947369,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540633358_TCP.D6L7.B1_Align,TCP,PROTON,I
17,1540636781_TCSG.D4L7.B1_Align,1,7.724142857142857,2.0273923051345117,10.86,6.591615379410411,180.5629722558699,4.268384620589584,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540636781_TCSG.D4L7.B1_Align,TCSG,PROTON,I
18,1540616403_TCTPH.4R2.B2_Align,1,1401.9958500000002,1.0886431136667891,1600.5800000000002,1448.9348271506326,1.0748850525791602,149.09513285401445,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540616403_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
19,1540631605_TCP.D6L7.B1_Align,0,5.066538461538462,3.5894874640060954,7.24,4.331047996373635,103.78619503375681,2.908952003628049,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540631605_TCP.D6L7.B1_Align,TCP,PROTON,I
20,1540632505_TCSG.D4L7.B1_Align,1,7.286137254901961,2.4054281628155776,9.593,7.167230167198767,86.08057244617908,2.4257698328033257,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540632505_TCSG.D4L7.B1_Align,TCSG,PROTON,I
21,1540624404_TCSP.A4L6.B2_Align,1,1.4050508474576278,2.670709418777049,5.0680000000000005,0.24917796610169554,42.664323887024494,4.8188220338983045,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540624404_TCSP.A4L6.B2_Align,TCSP,PROTON,I
22,1540631143_TCSP.A4L6.B2_Align,1,6.358205128205132,3.766323607750443,17.557000000000002,-10.34809838790152,0.05953615557021202,20.016992989485285,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540631143_TCSP.A4L6.B2_Align,TCSP,PROTON,I
23,1540618563_TCTPH.4R2.B2_Align,1,22.544555555555558,2.0466490536766573,27.874000000000002,11.527286732280237,50.55724924625704,16.346713267719736,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540618563_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
24,1540621314_TCP.D6R7.B2_Align,1,1.3296538461538465,1.7366989799685253,2.8960000000000004,0.6347152253261423,70.64396434815922,2.261284774673855,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540621314_TCP.D6R7.B2_Align,TCP,PROTON,I
25,1540630221_TCTPH.4R2.B2_Align,1,16.553742857142854,2.8304720953875218,21.176999999999996,16253.10262127447,-2.323891220428406e-06,-16243.984278857284,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540630221_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
26,1540626598_TCSG.D4R7.B2_Align,0,66.12922580645161,0.4456685211546883,93.577,-76.50472230614395,82.61193087918613,170.08173166153512,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540626598_TCSG.D4R7.B2_Align,TCSG,PROTON,I
27,1540630893_TCSP.A4L6.B2_Align,0,2.8920172413793077,3.910167919232824,9.049999999999999,324.94265218878587,2.3310917659195967e-06,-318.09045115580847,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540630893_TCSP.A4L6.B2_Align,TCSP,PROTON,I
28,1540626530_TCSG.D4R7.B2_Align,1,168.43342857142852,1.2408181128551394,310.05299999999994,4262.063973702119,8.311798633081863e-06,-4143.5974781014675,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540626530_TCSG.D4R7.B2_Align,TCSG,PROTON,I
29,1540632941_TCP.D6L7.B1_Align,0,2.6285499999999993,2.9440298217343446,4.5249999999999995,0.8256050854967166,148.6675126856598,3.6993949145068266,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540632941_TCP.D6L7.B1_Align,TCP,PROTON,I
