,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
0,1522972691_TCP.D6R7.B2_Align,1,0.7588571428571429,2.061749591192581,1.81,-1.6948955237171779,0.09566387222661032,2.114833530050331,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522972691_TCP.D6R7.B2_Align,TCP,PROTON,I
1,1522972679_TCTPV.4R8.B2_Align,1,3.652909090909091,1.078459901774285,6.697,-4.905212635484856,26.922064587154964,11.602212633655158,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522972679_TCTPV.4R8.B2_Align,TCTPV,PROTON,I
2,1522973374_TCSPM.D4R7.B2_Align,0,13.287529411764705,0.0,32.942,-3.7642929082776093,64.13767990186417,36.70629290827757,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522973374_TCSPM.D4R7.B2_Align,TCSPM,PROTON,I
3,1522973616_TCP.B6R7.B2_Align,0,25.254263157894737,1.5103394584102459,41.811,-20.837625150917702,169.02090314103916,62.64862510322142,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522973616_TCP.B6R7.B2_Align,TCP,PROTON,I
4,1522972301_TCLA.D6L7.B2_Align,1,-0.7460000000000001,2.6471298131954506,0.7240000000000001,-4.359897049468142,0.005936026946328672,4.2013590658813085,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522972301_TCLA.D6L7.B2_Align,TCLA,PROTON,I
5,1522972301_TCLA.D6L7.B2_Align,0,-0.7460000000000001,2.5445775686164502,0.7240000000000001,-4.359897049468142,0.005936026946328672,4.2013590658813085,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522972301_TCLA.D6L7.B2_Align,TCLA,PROTON,I
6,1522959236_TCP.C6L7.B1_Align,1,-1.2821573033707863,4.8325373947990045,1.4480000000000002,-3.8553127286328333,0.03132616259644348,3.2988757143347756,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522959236_TCP.C6L7.B1_Align,TCP,PROTON,I
7,1522971815_TCLA.7L3.B2_Align,1,5.108870967741938,3.6072193160189374,20.634,10.358212110361466,1.2244221713771566,10.51517589593683,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522971815_TCLA.7L3.B2_Align,TCLA,PROTON,I
8,1522973710_TCSG.A4R7.B2_Align,0,19.92905263157895,2.0579105226355945,34.39,9.052801616658483,1.4957853786185753,25.56186642847603,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522973710_TCSG.A4R7.B2_Align,TCSG,PROTON,I
9,1522976164_TCSG.B5L7.B1_Align,1,846.3684827586208,2.6696950548731464,855.768,749.7836136238441,0.2570447222224986,19.518186444282552,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522976164_TCSG.B5L7.B1_Align,TCSG,PROTON,I
10,1522976164_TCSG.B5L7.B1_Align,0,846.3684827586208,2.7408869230030968,855.768,749.7836136238441,0.2570447222224986,19.518186444282552,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522976164_TCSG.B5L7.B1_Align,TCSG,PROTON,I
11,1522975059_TCSG.6R7.B1_Align,0,5.456957446808512,2.7067756793906685,12.489,6274.08590251954,2.398055630863021e-06,-6266.452371172555,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/3-inj_2018/1522975059_TCSG.6R7.B1_Align,TCSG,PROTON,I
