,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
0,1536859715_TCTPH.4R2.B2_Align,1,1612.6390681818182,6.801842173965354,1629.18,1461.7853000801588,0.6219436685998652,38.72324419958732,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536859715_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1,1536859715_TCTPH.4R2.B2_Align,0,1612.6390681818182,3.239801906165316,1629.18,1461.7853000801588,0.6219436685998652,38.72324419958732,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536859715_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
2,1536855920_TCLA.D6L7.B2_Align,1,6.299202127659575,3.031700730366703,7.421,4.0766291942366,0.8691861493892887,3.456701097816319,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855920_TCLA.D6L7.B2_Align,TCLA,PROTON,I
3,1536855920_TCLA.D6L7.B2_Align,0,6.299202127659575,3.0701578220838277,7.421,4.0766291942366,0.8691861493892887,3.456701097816319,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855920_TCLA.D6L7.B2_Align,TCLA,PROTON,I
4,1536856711_TCTPV.4R5.B2_Align,1,40.662444444444446,2.2883808910246644,42.897,36.653997380851436,0.35262264824523537,3.0698333670952884,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536856711_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
5,1536859846_TCTPH.4R2.B2_Align,1,975.8613863636365,13.699484942382874,1079.8500000000001,452.4759533910487,0.06948949220189325,47.48728511290785,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536859846_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
6,1536859846_TCTPH.4R2.B2_Align,0,975.8613863636365,2.6824166320749683,1079.8500000000001,452.4759533910487,0.06948949220189325,47.48728511290785,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536859846_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
7,1536868543_TCTPV.4R5.B2_Align,1,96.07311627906978,4.98337491999156,130.863,122.47570744991565,0.5481254039307996,16.434434159094664,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536868543_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
8,1536865180_TCP.C6R7.B2_Align,1,84.06157142857143,1.6649117010761942,127.062,99.23028970807329,120.51110532176624,27.831710284665576,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536865180_TCP.C6R7.B2_Align,TCP,PROTON,I
9,1536855888_TCSG.B4R7.B2_Align,1,31.950046511627907,3.358215838320826,35.476,26.87550722730187,0.07409155750988136,3.1333035034038206,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855888_TCSG.B4R7.B2_Align,TCSG,PROTON,I
